50000; 0.00±0.00; min: 0.00, max: 0.00; efficiency: 0.000000
100000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 4.400000
150000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 2.933333
200000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 2.200000
250000; 432.00±24.00; min: 408.00, max: 456.00; efficiency: 1.728000
300000; 424.00±32.00; min: 392.00, max: 456.00; efficiency: 1.413333
350000; 424.00±32.00; min: 392.00, max: 456.00; efficiency: 1.211429
400000; 416.00±36.66; min: 379.34, max: 452.66; efficiency: 1.040000
450000; 408.00±39.19; min: 368.81, max: 447.19; efficiency: 0.906667
500000; 424.00±32.00; min: 392.00, max: 456.00; efficiency: 0.848000
550000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.800000
600000; 432.00±24.00; min: 408.00, max: 456.00; efficiency: 0.720000
650000; 416.00±36.66; min: 379.34, max: 452.66; efficiency: 0.640000
700000; 424.00±32.00; min: 392.00, max: 456.00; efficiency: 0.605714
750000; 424.00±32.00; min: 392.00, max: 456.00; efficiency: 0.565333
800000; 408.00±39.19; min: 368.81, max: 447.19; efficiency: 0.510000
850000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.517647
900000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.488889
950000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.463158
1000000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.440000
1050000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.419048
1100000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.400000
1150000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.382609
1200000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.366667
1250000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.352000
1300000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.338462
1350000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.325926
1400000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.314286
1450000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.303448
1500000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.293333
1550000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.283871
1600000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.275000
1650000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.266667
1700000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.258824
1750000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.251429
1800000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.244444
1850000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.237838
1900000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.231579
1950000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.225641
2000000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.220000
2050000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.214634
2100000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.209524
2150000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.204651
2200000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.200000
2250000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.195556
2300000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.191304
2350000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.187234
2400000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.183333
2450000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.179592
2500000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.176000
2550000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.172549
2600000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.169231
2650000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.166038
2700000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.162963
2750000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.160000
2800000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.157143
2850000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.154386
2900000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.151724
2950000; 440.00±0.00; min: 440.00, max: 440.00; efficiency: 0.149153
