time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/value_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1,2048,2,956,,,,,,,,,,,,
2,4096,4,944,0.0650634765625,-0.006230339437024668,-0.00609898567199707,4,0.0002499488,-0.005244582891464233,0.0044500884,-5.542146027088165,0.2197852546814829,0.15,,
3,6144,6,966,0.0013427734375,-0.0013800114975310862,0.04603171348571777,8,0.0002498976,0.01259804517030716,0.0018595835,-5.542209953069687,0.22812601551413536,0.15,,
4,8192,8,973,0.0526123046875,-0.004457398346858099,0.17544794082641602,12,0.0002498464,0.02760908380150795,0.004778046,-5.53579081594944,0.19763040356338024,0.15,,
5,10240,10,975,0.0489501953125,-0.005010799126466736,0.3191338777542114,16,0.0002497952,0.025271791964769363,0.0038958483,-5.538322240114212,0.18458871077746153,0.15,590.0,9.565919
6,12288,12,972,0.0615234375,-0.004386669228551909,0.4376283884048462,20,0.000249744,0.015745364129543304,0.004713834,-5.534514099359512,0.16566497762687504,0.15,697.125,13.605501
7,14336,14,971,0.051513671875,-0.003118801338132471,0.4308408498764038,24,0.0002496928,0.02999988943338394,0.0021171118,-5.522941991686821,0.2368555790744722,0.15,763.3571428571429,15.01463442857143
8,16384,16,976,0.06494140625,-0.00528908014530316,0.593372106552124,28,0.0002496416,-0.00756116583943367,0.0044835145,-5.51117168366909,0.18172568012960255,0.15,776.2666666666667,15.648107466666668
9,18432,18,980,0.093505859375,-0.007049230829579756,0.6188390254974365,32,0.0002495904,0.0067372992634773254,0.003963834,-5.500104025006294,0.23796506971120834,0.15,792.8125,15.78665925
10,20480,20,984,0.0460205078125,-0.003180493862600997,0.7662813663482666,36,0.00024953919999999997,0.007092680782079697,0.0039409366,-5.517542332410812,0.17172046843916178,0.15,792.8125,15.78665925
11,22528,22,985,0.1534423828125,-0.007527194917201996,0.686214804649353,40,0.00024948799999999997,0.022418096661567688,0.0048687877,-5.5250439792871475,0.2035034536384046,0.15,785.9411764705883,15.555440647058825
12,24576,24,988,0.057373046875,-0.001803819352062419,0.6875302195549011,44,0.0002494368,-0.002331458032131195,0.0031520934,-5.52343225479126,0.13889873027801514,0.15,785.9411764705883,15.555440647058825
13,26624,26,987,0.03759765625,-0.0028527082613436505,0.499157190322876,48,0.0002493856,0.005479447543621063,0.003550313,-5.525304615497589,0.17557821795344353,0.15,817.2916666666666,17.308515625
14,28672,29,986,0.0626220703125,-0.00742945664387662,0.5843040943145752,52,0.0002493344,0.0029258057475090027,0.0048241243,-5.5212064534425735,0.20892460411414504,0.15,833.0,17.9454662
15,30720,31,983,0.08740234375,-0.005812141782371327,0.8107728958129883,56,0.0002492832,-0.013682141900062561,0.0049344376,-5.521930083632469,0.1218427496496588,0.15,835.4193548387096,18.035472967741935
16,32768,33,983,0.10498046875,-0.007068625985994004,0.6973434686660767,60,0.000249232,-0.010892316699028015,0.0039969822,-5.519229665398598,0.14154484122991562,0.15,839.03125,18.19611065625
17,34816,35,984,0.0650634765625,-0.00569005541910883,0.6771774291992188,64,0.0002491808,0.025075770914554596,0.005308209,-5.516849920153618,0.2201359225437045,0.15,825.5,17.629075852941178
18,36864,37,984,0.07666015625,-0.006294465420069173,0.7810903787612915,68,0.0002491296,0.012066327035427094,0.0040181065,-5.501514092087746,0.15732389106415212,0.15,806.4324324324324,16.934892594594597
19,38912,39,983,0.0543212890625,-0.004690409172326326,0.7863795757293701,72,0.0002490784,-0.0022291913628578186,0.0042253225,-5.494912624359131,0.15739339869469404,0.15,793.7906976744187,16.959398744186046
20,40960,41,983,0.090576171875,-0.008751273882808164,0.7424865961074829,76,0.0002490272,0.015469849109649658,0.0044940454,-5.489596784114838,0.22399378707632422,0.15,791.5681818181819,16.911759636363637
21,43008,43,982,0.0673828125,-0.0047764531773282215,0.47089165449142456,80,0.000248976,0.013408064842224121,0.004710569,-5.488713189959526,0.20224882289767265,0.15,796.5434782608696,17.374469021739127
22,45056,45,982,0.114501953125,-0.007314316346310079,0.6306196451187134,84,0.00024892480000000003,0.04660924896597862,0.0051854444,-5.482416868209839,0.22480617091059685,0.15,795.3617021276596,17.429936148936168
23,47104,47,983,0.0960693359375,-0.004593829813529737,0.6828029751777649,88,0.00024887360000000003,0.011208795011043549,0.0036977744,-5.493767693638802,0.21862854296341538,0.15,793.4615384615385,17.77700519230769
24,49152,50,983,0.068115234375,-0.007563131599454209,0.8147656917572021,92,0.0002488224,-0.020559590309858322,0.0036593433,-5.476067945361137,0.134748114971444,0.15,785.1428571428571,17.67112507142857
25,51200,52,982,0.0736083984375,-0.005849180364748463,0.8174716234207153,96,0.0002487712,0.026318922638893127,0.005459296,-5.484221488237381,0.1903911391273141,0.15,783.0677966101695,17.79969642372881
26,53248,54,981,0.1187744140625,-0.008872388090821914,0.7829830646514893,100,0.00024872,0.014078132808208466,0.004130193,-5.461569160223007,0.19714816100895405,0.15,775.0655737704918,17.687660967213112
27,55296,56,981,0.0797119140625,-0.006965629116166383,0.7749801874160767,104,0.0002486688,0.04455752670764923,0.003987505,-5.456260800361633,0.23085052147507668,0.15,772.6666666666666,17.767109634920633
28,57344,58,981,0.1072998046875,-0.007863212347729132,0.7902998328208923,108,0.0002486176,-0.013157419860363007,0.0034539793,-5.465092778205872,0.17712953826412559,0.15,769.8787878787879,17.887390060606062
29,59392,60,980,0.11181640625,-0.005430963297840208,0.8119718432426453,112,0.0002485664,0.006248250603675842,0.005251994,-5.468748316168785,0.1832343484275043,0.15,761.6056338028169,17.833484450704226
30,61440,62,980,0.072998046875,-0.006106599830673076,0.8596851825714111,116,0.0002485152,0.007084369659423828,0.0051593655,-5.45101597905159,0.18022975139319897,0.15,759.972972972973,17.796613054054053
31,63488,64,980,0.0804443359375,-0.005280625744489953,0.8922074437141418,120,0.000248464,0.02634434401988983,0.0045088986,-5.444136917591095,0.17260227329097688,0.15,759.1948051948052,17.939246688311684
32,65536,66,981,0.1171875,-0.005514699907507747,0.8638952970504761,124,0.0002484128,0.008829358965158463,0.005296982,-5.441252171993256,0.18532386049628258,0.15,758.6410256410256,17.952668884615385
33,67584,68,980,0.0950927734375,-0.006536236149258912,0.9000399112701416,128,0.0002483616,0.004273563623428345,0.0043193144,-5.438788369297981,0.1668471349403262,0.15,747.7590361445783,17.733358578313254
34,69632,70,980,0.0936279296875,-0.00810554379131645,0.9095900654792786,132,0.0002483104,-0.022384513169527054,0.0043996884,-5.433622255921364,0.12117401184514165,0.15,748.4823529411765,17.83319969411765
35,71680,73,981,0.1171875,-0.006419436220312491,0.8258916735649109,136,0.00024825920000000004,0.026512563228607178,0.00464738,-5.43551678955555,0.20405631326138973,0.15,746.2413793103449,17.845376965517243
36,73728,75,981,0.103271484375,-0.007627546030562371,0.8276560306549072,140,0.00024820800000000003,0.027920231223106384,0.005791567,-5.437674850225449,0.20753748062998056,0.15,745.9444444444445,17.9137135
37,75776,77,981,0.0992431640625,-0.008480376593070105,0.8537755608558655,144,0.00024815680000000003,0.00224091112613678,0.0051501566,-5.441081270575523,0.14260269165970385,0.15,744.436170212766,18.014486723404257
38,77824,79,981,0.1068115234375,-0.009733215701999143,0.8399375677108765,148,0.0002481056,-0.011731840670108795,0.0068137394,-5.413741052150726,0.16993690188974142,0.15,742.2061855670103,18.005342154639173
39,79872,81,980,0.166015625,-0.011478918619104661,0.8148366212844849,152,0.0002480544,-0.0069864168763160706,0.007850096,-5.398074313998222,0.17992835864424706,0.15,743.11,18.10871788
40,81920,83,979,0.127685546875,-0.007603774429298937,0.8443158864974976,156,0.0002480032,-0.030933327972888947,0.004125435,-5.381149381399155,0.14479175838641822,0.15,743.27,18.24395414
41,83968,85,978,0.1036376953125,-0.007656460860744119,0.806022584438324,160,0.000247952,0.013795778155326843,0.004593375,-5.348613053560257,0.19844925357028842,0.15,743.27,18.24395414
42,86016,87,977,0.1002197265625,-0.008544349984731525,0.7942164540290833,164,0.0002479008,0.018666326999664307,0.005306291,-5.350028321146965,0.23405747674405575,0.15,743.36,18.8253719
43,88064,90,976,0.104248046875,-0.008968263602582738,0.8596891164779663,168,0.0002478496,0.001709766685962677,0.0057302713,-5.337021470069885,0.17309490498155355,0.15,735.87,18.91965835
44,90112,92,976,0.1488037109375,-0.008082993299467489,0.7768034934997559,172,0.0002477984,0.024415072053670883,0.005961229,-5.351872161030769,0.21238804701715708,0.15,734.2,18.972479059999998
45,92160,94,975,0.118896484375,-0.009951948319212534,0.7716023921966553,176,0.0002477472,0.022947683930397034,0.007281126,-5.371071502566338,0.1981388470157981,0.15,728.48,19.08979471
46,94208,96,974,0.1182861328125,-0.008068616865784861,0.7705140113830566,180,0.000247696,0.04654931277036667,0.006342098,-5.374939396977425,0.23673526477068663,0.15,723.92,19.20869582
47,96256,98,974,0.134765625,-0.00855003870674409,0.8293322324752808,184,0.0002476448,0.023070931434631348,0.006872871,-5.3509639501571655,0.21319141844287515,0.15,717.59,19.11059785
48,98304,100,973,0.1243896484375,-0.009987799247028306,0.8269591331481934,188,0.0002475936,0.05318458378314972,0.004572373,-5.362179711461067,0.2532208818010986,0.15,704.0,19.26277535
