time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/value_loss,train/clip_fraction
754,1,2048,2,,,,,,,,,,,,
817,2,4096,5,0.002416936,215.0,0.0002499488,1.6348505000000002,4,-0.05768287181854248,0.004043348133563995,-5.543670117855072,-0.00251885165926069,0.15,0.352793465834111,0.0107421875
865,3,6144,7,0.004518478,260.6666666666667,0.0002498976,1.6267708333333335,8,0.07589906454086304,0.025458257645368576,-5.539650350809097,-0.003092137092608027,0.15,0.1850698576308787,0.03173828125
899,4,8192,9,0.00420931,285.0,0.0002498464,2.7591795,12,0.1905011534690857,0.0075200870633125305,-5.534912690520287,-0.003069165861234069,0.15,0.2092452896758914,0.044921875
911,5,10240,11,0.003304208,349.7692307692308,0.0002497952,4.184659,16,0.39906156063079834,0.003581404685974121,-5.529318138957024,-0.005587921186815947,0.15,0.18301450880244374,0.0762939453125
921,6,12288,13,0.0036936817,405.5,0.000249744,5.000916049999999,20,0.4604053497314453,0.02169065922498703,-5.523625820875168,-0.004992958376533352,0.15,0.17837487626820803,0.048095703125
927,7,14336,15,0.0037279404,451.2,0.0002496928,6.7305109199999995,24,0.6244734525680542,0.030183136463165283,-5.521100804209709,-0.0048481835692655295,0.15,0.18608386954292655,0.0439453125
918,8,16384,17,0.0036253398,434.5357142857143,0.0002496416,6.200640714285713,28,0.5963708162307739,0.0020738691091537476,-5.522435709834099,-0.007137886044802144,0.15,0.1884521336760372,0.074951171875
926,9,18432,19,0.0035312602,422.43333333333334,0.0002495904,5.873875399999999,32,0.6378914713859558,-0.0028645917773246765,-5.519444212317467,-0.005775220735813491,0.15,0.19125028979033232,0.0811767578125
933,10,20480,21,0.0041284375,427.2121212121212,0.00024953919999999997,6.161070848484848,36,0.5919040441513062,0.015704363584518433,-5.514370530843735,-0.004707512474851683,0.15,0.18031560885719955,0.070556640625
939,11,22528,23,0.006394907,438.94594594594594,0.00024948799999999997,6.358984216216217,40,0.6113326549530029,0.041730016469955444,-5.505693271756172,-0.007203567700344138,0.15,0.18168049934320152,0.1280517578125
941,12,24576,26,0.005634224,456.3809523809524,0.0002494368,6.921787023809524,44,0.6533201932907104,-0.010711558163166046,-5.506391599774361,-0.006499413095298223,0.15,0.15824345755390823,0.1004638671875
941,13,26624,28,0.004379372,472.8510638297872,0.0002493856,7.557443468085105,48,0.6055401563644409,0.015535697340965271,-5.499760985374451,-0.005728892079787329,0.15,0.21156226098537445,0.1219482421875
941,14,28672,30,0.0037732294,480.18367346938777,0.0002493344,7.861898510204083,52,0.5968456268310547,0.028531301766633987,-5.493504121899605,-0.005025966034736484,0.15,0.23265397129580379,0.0921630859375
942,15,30720,32,0.0039173327,481.37735849056605,0.0002492832,7.897478735849058,56,0.7358502149581909,0.0010903403162956238,-5.493298903107643,-0.004894191224593669,0.15,0.1777097242884338,0.0791015625
945,16,32768,34,0.003544904,478.2142857142857,0.000249232,8.01935944642857,60,0.6969581842422485,0.037772201001644135,-5.4930591732263565,-0.005534470808925107,0.15,0.22700371406972408,0.0596923828125
947,17,34816,36,0.00404232,487.75,0.0002491808,8.599301316666667,64,0.7066538333892822,-0.0035093501210212708,-5.486464127898216,-0.006078053876990452,0.15,0.1759165688417852,0.0477294921875
949,18,36864,38,0.0057560806,481.55384615384617,0.0002491296,8.44746950769231,68,0.6953161954879761,0.022618666291236877,-5.479939788579941,-0.005981469395919703,0.15,0.21623565908521414,0.0970458984375
948,19,38912,41,0.0060475664,499.72058823529414,0.0002490784,9.056574647058824,72,0.7843990921974182,-0.013920918107032776,-5.470314934849739,-0.007182412358815782,0.15,0.15755773917771876,0.132080078125
949,20,40960,43,0.0038189003,501.7323943661972,0.0002490272,9.262449915492958,76,0.6436765789985657,0.061309851706027985,-5.477560058236122,-0.00556016837072093,0.15,0.23993590055033565,0.0836181640625
950,21,43008,45,0.0043616034,509.2763157894737,0.000248976,9.704133368421052,80,0.677716851234436,0.005011670291423798,-5.48420362174511,-0.0060245639469940215,0.15,0.1987106567248702,0.0850830078125
951,22,45056,47,0.0039419574,506.45454545454544,0.00024892480000000003,9.667596753246753,84,0.675359845161438,0.004281323403120041,-5.464191749691963,-0.005743852845625952,0.15,0.19176591373980045,0.081298828125
949,23,47104,49,0.0045394627,508.3048780487805,0.00024887360000000003,9.704140451219512,88,0.7631477117538452,0.005102142691612244,-5.480571046471596,-0.005782201362308115,0.15,0.17481837701052427,0.106201171875
950,24,49152,51,0.004933509,503.82142857142856,0.0002488224,9.583764130952382,92,0.7124971151351929,0.008918572217226028,-5.467969626188278,-0.006145863269921392,0.15,0.20443581091240048,0.095947265625
950,25,51200,53,0.0055319835,506.7865168539326,0.0002487712,9.752292146067417,96,0.5635673999786377,0.02331244945526123,-5.491443231701851,-0.005838917713845149,0.15,0.23197039170190692,0.098388671875
949,26,53248,56,0.0062028123,511.67021276595744,0.00024872,10.007828106382979,100,0.6690026521682739,0.043746404349803925,-5.484350219368935,-0.004496781577472575,0.15,0.19290061108767986,0.124267578125
949,27,55296,58,0.004113392,508.32,0.0002486688,10.074477100000001,104,0.7137784361839294,0.014304086565971375,-5.494673535227776,-0.005868844891665503,0.15,0.1808390561491251,0.0770263671875
950,28,57344,60,0.004855151,526.14,0.0002486176,10.81117979,108,0.7532904148101807,0.02347378432750702,-5.474944218993187,-0.008714911018614657,0.15,0.22501921886578202,0.0960693359375
951,29,59392,62,0.005855126,525.72,0.0002485664,10.77954891,112,0.806567907333374,0.010097485035657883,-5.483401522040367,-0.005742487031966448,0.15,0.19413326401263475,0.0948486328125
950,30,61440,64,0.0043644696,529.27,0.0002485152,10.934922930000003,116,0.7891181707382202,0.01748155802488327,-5.490748375654221,-0.007670762686757371,0.15,0.1994511689990759,0.0877685546875
950,31,63488,66,0.0050363173,532.54,0.000248464,11.30192531,120,0.7436270117759705,0.041490230709314346,-5.483754709362984,-0.007316505623748526,0.15,0.22091855993494391,0.0888671875
951,32,65536,68,0.0048247417,533.07,0.0002484128,11.393779050000001,124,0.863565981388092,-0.010450635105371475,-5.475525587797165,-0.006437388656195253,0.15,0.16430378588847816,0.0926513671875
951,33,67584,70,0.0039165616,532.81,0.0002483616,11.49731444,128,0.784435510635376,0.009052470326423645,-5.484743878245354,-0.008534506050636992,0.15,0.20993003901094198,0.0848388671875
953,34,69632,73,0.004154547,535.02,0.0002483104,11.765092099999999,132,0.8129631280899048,0.013713911175727844,-5.483453378081322,-0.007241259736474603,0.15,0.20133313816040754,0.1263427734375
953,35,71680,75,0.003930268,539.59,0.00024825920000000004,11.98428591,136,0.8295755982398987,0.010757841169834137,-5.4664326608181,-0.008167459338437766,0.15,0.21939770132303238,0.0904541015625
954,36,73728,77,0.0047511607,544.34,0.00024820800000000003,12.188988129999998,140,0.8204358816146851,0.023949287831783295,-5.464661359786987,-0.008554895117413253,0.15,0.25774960266426206,0.07373046875
954,37,75776,79,0.005229729,548.5,0.00024815680000000003,12.46127796,144,0.8546028733253479,-0.006847262382507324,-5.449120000004768,-0.00906250302796252,0.15,0.15437080641277134,0.131103515625
954,38,77824,81,0.005574623,547.0,0.0002481056,12.6840136,148,0.8511876463890076,0.031415291130542755,-5.4474081844091415,-0.008577776156016625,0.15,0.22977766441181302,0.1099853515625
955,39,79872,83,0.004523291,544.46,0.0002480544,12.635651090000001,152,0.8113491535186768,0.049965016543865204,-5.426537096500397,-0.007612976798554882,0.15,0.24516634456813335,0.09521484375
956,40,81920,85,0.0039087897,540.63,0.0002480032,12.56625383,156,0.8793286085128784,0.003421790897846222,-5.449758097529411,-0.00972757680574432,0.15,0.1731734061613679,0.0908203125
956,41,83968,87,0.0047390433,540.79,0.000247952,12.65357435,160,0.7848623991012573,0.033029705286026,-5.44210310280323,-0.007639724208274856,0.15,0.23592225369066,0.0938720703125
956,42,86016,89,0.004177954,545.0,0.0002479008,12.97495618,164,0.8189887404441833,-0.010813593864440918,-5.416305914521217,-0.00885206603561528,0.15,0.18752137990668416,0.095458984375
957,43,88064,91,0.0036691953,547.78,0.0002478496,13.120389119999997,168,0.8545564413070679,0.015980515629053116,-5.423285484313965,-0.005031904234783724,0.15,0.22640690673142672,0.0615234375
957,44,90112,94,0.0063640084,547.6,0.0002477984,13.191921999999998,172,0.8225135803222656,0.005487687885761261,-5.413247048854828,-0.010248769118334167,0.15,0.22429559519514441,0.1270751953125
956,45,92160,96,0.0039764345,546.01,0.0002477472,13.435377099999998,176,0.8348135352134705,0.0005088597536087036,-5.421699911355972,-0.008793650806182995,0.15,0.1870689233765006,0.0802001953125
955,46,94208,98,0.0044534933,541.36,0.000247696,13.229047870000002,180,0.7807213664054871,0.04194773733615875,-5.395996138453484,-0.006703982609906234,0.15,0.25980055844411254,0.0684814453125
956,47,96256,100,0.0048246286,535.51,0.0002476448,12.991500530000001,184,0.8489193916320801,-0.0008790269494056702,-5.396586060523987,-0.008612659104983322,0.15,0.19749115267768502,0.07666015625
956,48,98304,102,0.005146807,533.93,0.0002475936,12.961260260000001,188,0.7833355069160461,0.04611082375049591,-5.408569902181625,-0.010395320161478594,0.15,0.25190160097554326,0.137939453125
956,49,100352,104,0.0072635524,532.53,0.0002475424,12.985165360000002,192,0.8797797560691833,-0.007042065262794495,-5.390013560652733,-0.011916363873751834,0.15,0.16229821788147092,0.1568603515625
956,50,102400,107,0.0061570974,540.92,0.0002474912,13.515860210000001,196,0.81223464012146,-0.0008376836776733398,-5.386576399207115,-0.00931533177208621,0.15,0.21075333235785365,0.1265869140625
956,51,104448,109,0.0046403194,537.66,0.00024744,13.46911463,200,0.8882712125778198,0.010642364621162415,-5.34679813683033,-0.007420412570354529,0.15,0.183480029925704,0.1063232421875
957,52,106496,111,0.005273108,534.71,0.00024738879999999997,13.38190625,204,0.9240344166755676,0.006554752588272095,-5.374909996986389,-0.0067547011421993375,0.15,0.17336142202839255,0.1248779296875
957,53,108544,113,0.005373091,533.45,0.0002473376,13.317026420000001,208,0.86937016248703,0.003282584249973297,-5.373541206121445,-0.011304842380923219,0.15,0.1859529665671289,0.0958251953125
957,54,110592,115,0.0052191727,533.04,0.0002472864,13.2200815,212,0.8617491722106934,0.029383830726146698,-5.372758999466896,-0.010059266467578709,0.15,0.19414728716947138,0.129150390625
957,55,112640,117,0.0056530517,537.03,0.0002472352,13.614251079999997,216,0.8357914686203003,-0.012287437915802002,-5.375394985079765,-0.00916342088021338,0.15,0.14663114584982395,0.113037109375
957,56,114688,119,0.005753809,537.87,0.000247184,13.634899480000001,220,0.8295403718948364,0.01564399152994156,-5.3827822506427765,-0.009261113897082396,0.15,0.19887913530692458,0.1055908203125
956,57,116736,122,0.0057253665,546.05,0.0002471328,13.913681529999998,224,0.9099480509757996,-0.015693318098783493,-5.368616431951523,-0.012838858383474872,0.15,0.1468207617290318,0.1396484375
956,58,118784,124,0.0062902654,540.4,0.0002470816,13.8306721,228,0.8777464032173157,0.0045043230056762695,-5.373344853520393,-0.010028980148490518,0.15,0.16193744353950024,0.1339111328125
956,59,120832,126,0.0053817425,532.31,0.0002470304,13.570846330000002,232,0.874739944934845,0.02136097103357315,-5.363925531506538,-0.007040840166155249,0.15,0.17054223781451583,0.1282958984375
956,60,122880,128,0.007057542,537.2,0.0002469792,13.735205969999999,236,0.8502278327941895,-0.006996072828769684,-5.381687372922897,-0.011939974705455825,0.15,0.1663545409683138,0.138916015625
955,61,124928,130,0.0054062735,535.85,0.000246928,13.783874680000002,240,0.77580726146698,0.028754286468029022,-5.367534652352333,-0.010435981792397797,0.15,0.21612743567675352,0.1092529296875
955,62,126976,132,0.0070458516,534.42,0.0002468768,13.87382037,244,0.9001662135124207,-0.0028772875666618347,-5.335180699825287,-0.010019223060226068,0.15,0.16177215846255422,0.1058349609375
