time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
2048,1,2,748,,,,,,,,,,,,
4096,2,4,836,-5.542579963803291,0.0028612118,-0.002341479790629819,0.0002499488,0.2793437293730676,0.0281982421875,0.033329904079437256,0.15,4,0.0017937570810317993,,
6144,3,6,892,-5.542000561952591,0.0036585995,-0.0026019060605904087,0.0002498976,0.1987238791771233,0.0166015625,0.11108928918838501,0.15,8,0.016908548772335052,,
8192,4,8,916,-5.537462875247002,0.0012828743,-0.0005471414769999683,0.0002498464,0.19231403130106628,0.000732421875,0.06570661067962646,0.15,12,0.014119148254394531,15.0,510.0
10240,5,11,929,-5.528740361332893,0.0064026527,-0.004641478604753502,0.0002497952,0.16049508517608047,0.0626220703125,0.3050730228424072,0.15,16,-0.00031998753547668457,16.5,574.25
12288,6,13,930,-5.520566955208778,0.0052801752,-0.0047099588555283844,0.000249744,0.1523606302216649,0.07177734375,0.43766123056411743,0.15,20,0.02428901195526123,18.384615384615383,649.8461538461538
14336,7,15,936,-5.507554218173027,0.005024383,-0.004520558111835271,0.0002496928,0.14951542089693248,0.0955810546875,0.4420577883720398,0.15,24,-0.009440898895263672,18.785714285714285,662.7142857142857
16384,8,17,939,-5.518249452114105,0.0031560813,-0.00253290546243079,0.0002496416,0.12901770626194775,0.0828857421875,0.5982174873352051,0.15,28,0.007781364023685455,19.5625,695.5625
18432,9,19,942,-5.515554994344711,0.0043373867,-0.0025738761760294437,0.0002495904,0.13668296951800585,0.0472412109375,0.6258342266082764,0.15,32,-0.007692251354455948,19.5625,695.5625
20480,10,21,941,-5.514009818434715,0.0034614988,-0.00398338251397945,0.00024953919999999997,0.11928538046777248,0.0838623046875,0.6439957618713379,0.15,36,-0.010364305227994919,19.5,694.7777777777778
22528,11,23,945,-5.503850013017654,0.004486087,-0.004912361400783993,0.00024948799999999997,0.17061016988009214,0.0999755859375,0.5905992984771729,0.15,40,0.003025464713573456,19.136363636363637,696.4090909090909
24576,12,25,952,-5.517138913273811,0.0050116624,-0.0042322703811805695,0.0002494368,0.1652317293919623,0.081787109375,0.6017804145812988,0.15,44,0.013317368924617767,19.47826086956522,702.8695652173913
26624,13,27,951,-5.522734642028809,0.003044755,-0.004073185242305044,0.0002493856,0.20761989476159215,0.0509033203125,0.542371392250061,0.15,48,0.013015367090702057,21.20689655172414,739.7586206896551
28672,14,30,953,-5.497576549649239,0.005306903,-0.006753017602022737,0.0002493344,0.18681654939427972,0.123779296875,0.5722771883010864,0.15,52,-0.0021357759833335876,21.6,742.4666666666667
30720,15,32,957,-5.513569086790085,0.0040847436,-0.0022120675566839054,0.0002492832,0.21976445987820625,0.073486328125,0.47979700565338135,0.15,56,0.04394325613975525,22.4375,761.71875
32768,16,34,960,-5.505415678024292,0.0034969253,-0.005068906888482161,0.000249232,0.23636211222037673,0.046630859375,0.6416689157485962,0.15,60,0.03910744935274124,22.424242424242426,758.8484848484849
34816,17,36,961,-5.5001892894506454,0.005579984,-0.006227336416486651,0.0002491808,0.1610624750610441,0.096435546875,0.7660249471664429,0.15,64,0.022067084908485413,22.756756756756758,759.918918918919
36864,18,38,961,-5.500338047742844,0.00485201,-0.005706027586711571,0.0002491296,0.23403604933992028,0.136474609375,0.6288244724273682,0.15,68,0.0165700763463974,23.28205128205128,766.5641025641025
38912,19,40,963,-5.496418133378029,0.0054886895,-0.007360880801570602,0.0002490784,0.17184474924579263,0.1043701171875,0.7476116418838501,0.15,72,-0.004542618989944458,23.80952380952381,775.3571428571429
40960,20,42,963,-5.500313013792038,0.0030521238,-0.004474836692679673,0.0002490272,0.1910609914921224,0.0982666015625,0.7764672040939331,0.15,76,0.016046494245529175,23.95744680851064,777.2978723404256
43008,21,44,965,-5.492487788200378,0.0043124803,-0.004477097056224011,0.000248976,0.19102870137430727,0.0889892578125,0.7444519996643066,0.15,80,0.025788679718971252,24.083333333333332,777.7291666666666
45056,22,46,964,-5.501408904790878,0.0058110366,-0.0038283659087028354,0.00024892480000000003,0.23783504078164697,0.0762939453125,0.7188384532928467,0.15,84,0.02179408073425293,24.020408163265305,775.5918367346939
47104,23,48,963,-5.501233294606209,0.0040862323,-0.005970637605059892,0.00024887360000000003,0.1716987134423107,0.0653076171875,0.76792311668396,0.15,88,0.0027884021401405334,24.150943396226417,770.7358490566038
49152,24,51,962,-5.484137624502182,0.004921816,-0.006318351777736098,0.0002488224,0.14911701693199575,0.071044921875,0.8298302888870239,0.15,92,-0.013017911463975906,24.133333333333333,754.8166666666667
51200,25,53,961,-5.453359350562096,0.00635555,-0.006278614426264539,0.0002487712,0.23370235180482268,0.1500244140625,0.8164860010147095,0.15,96,0.05033383518457413,24.142857142857142,752.5555555555555
53248,26,55,961,-5.43916280567646,0.0042867824,-0.007491359589039348,0.00024872,0.17617461876943707,0.128173828125,0.8311288952827454,0.15,100,-0.0031618252396583557,24.09375,749.46875
55296,27,57,961,-5.455828562378883,0.0041610375,-0.004944911343045533,0.0002486688,0.1539885113015771,0.091796875,0.7569856643676758,0.15,104,0.005953088402748108,23.940298507462686,737.7164179104477
57344,28,59,959,-5.458006739616394,0.006836967,-0.006696407974231988,0.0002486176,0.22531604673713446,0.158203125,0.7553004026412964,0.15,108,0.03114771842956543,23.901408450704224,729.5492957746479
59392,29,61,959,-5.4504943042993546,0.003670033,-0.00804088733275421,0.0002485664,0.17202548636123538,0.1025390625,0.853738009929657,0.15,112,0.0040971264243125916,24.157894736842106,728.328947368421
61440,30,63,961,-5.431306898593903,0.004597392,-0.004262410860974342,0.0002485152,0.2218188364058733,0.0970458984375,0.7926689982414246,0.15,116,0.03251829743385315,24.205128205128204,724.4871794871794
63488,31,66,961,-5.417374476790428,0.006143093,-0.007415250060148537,0.000248464,0.16047457978129387,0.154052734375,0.8628631234169006,0.15,120,-0.008846580982208252,24.182926829268293,721.390243902439
65536,32,68,962,-5.399349167943001,0.0054659313,-0.006494942703284323,0.0002484128,0.20023622317239642,0.0986328125,0.8432238101959229,0.15,124,0.016100354492664337,24.214285714285715,717.75
