time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
729,1,2,2048,,,,,,,,,,,,
797,2,5,4096,0.20674563106149435,0.0,9.995904e-05,-5.545058578252792,-0.09308910369873047,4,0.1,-0.0003591761051211506,0.012037649750709534,0.0001820462,,
888,3,6,6144,0.23857339704409242,0.0,9.991808e-05,-5.544700309634209,0.049355506896972656,8,0.1,-0.00038691985537298024,0.019973214715719223,0.00019662708,,
935,4,8,8192,0.19521931326016784,0.0001220703125,9.987712e-05,-5.543641552329063,0.04119187593460083,12,0.1,-0.0010802592732943594,0.02233751118183136,0.00071796484,501.0,12.390361
960,5,10,10240,0.2503716959618032,0.002197265625,9.983616e-05,-5.539969176054001,0.09965914487838745,16,0.1,-0.0009806013840716332,0.06028047204017639,0.00079419924,574.6,10.7772412
981,6,12,12288,0.2481170636601746,0.0,9.97952e-05,-5.536979243159294,0.10958713293075562,20,0.1,-0.0006835244421381503,0.07006432116031647,0.0006081922,629.8,11.5675386
1000,7,14,14336,0.16094865533523262,0.0205078125,9.975424000000001e-05,-5.534782320261002,0.25795644521713257,24,0.1,-0.0018012926157098264,0.020015157759189606,0.0015357551,679.8571428571429,13.236703428571431
1014,8,16,16384,0.20467229560017586,0.029541015625,9.971328e-05,-5.530645236372948,0.22940576076507568,28,0.1,-0.002438097493723035,0.05437673628330231,0.0018328523,712.25,13.949595625
1026,9,17,18432,0.22789961146190763,0.053466796875,9.967232000000001e-05,-5.522141143679619,0.3736498951911926,32,0.1,-0.0036071280774194747,0.04147011786699295,0.0024329307,702.9411764705883,13.743029117647058
1036,10,19,20480,0.2244310569949448,0.0,9.963136000000001e-05,-5.51683896780014,0.39418041706085205,36,0.1,-0.0003232840244891122,0.05754862353205681,0.00031137315,701.3333333333334,13.839891055555556
1045,11,21,22528,0.19703005999326706,0.0020751953125,9.95904e-05,-5.513388767838478,0.4976300001144409,40,0.1,-0.0010245516896247864,0.02791447937488556,0.0010464883,695.2857142857143,13.607802523809523
1049,12,23,24576,0.19948187051340938,0.0,9.954944000000001e-05,-5.505161434412003,0.5777065753936768,44,0.1,-0.00023913863697089255,0.0408693365752697,0.00046204074,713.5666666666667,14.198680533333333
1058,13,25,26624,0.27530834591016173,0.0001220703125,9.950848e-05,-5.505229964852333,0.509061336517334,48,0.1,-0.0007641064585186541,0.07256953418254852,0.0006592304,713.5666666666667,14.198680533333333
1064,14,26,28672,0.17179996334016323,0.0133056640625,9.946752e-05,-5.509564787149429,0.61417555809021,52,0.1,-0.0012417333346093073,0.028001349419355392,0.0015905008,722.03125,14.462598843750001
1068,15,28,30720,0.23627364030107856,0.0223388671875,9.942656e-05,-5.50919871032238,0.5594120025634766,56,0.1,-0.0018446689646225423,0.02300497516989708,0.0017655913,715.0882352941177,14.213318588235296
1069,16,30,32768,0.22869755001738667,0.0362548828125,9.93856e-05,-5.512122258543968,0.6835690140724182,60,0.1,-0.002142143523087725,0.050335098057985306,0.0019840328,713.027027027027,14.146543972972975
1069,17,32,34816,0.22303512087091804,0.042236328125,9.934464e-05,-5.507985144853592,0.610950231552124,64,0.1,-0.0013951458531664684,0.044412724673748016,0.0018177677,714.1315789473684,14.173838263157895
1072,18,34,36864,0.2502281297929585,0.040283203125,9.930368000000001e-05,-5.512454479932785,0.5680416822433472,68,0.1,-0.0025651088071754202,0.05994287133216858,0.0018306756,720.75,14.569568425
1072,19,36,38912,0.20242190919816494,0.0074462890625,9.926272000000001e-05,-5.507927402853966,0.5459993481636047,72,0.1,-0.0012977688456885517,0.03119167685508728,0.0011772448,738.0217391304348,15.283795673913044
1076,20,38,40960,0.2335864119231701,0.0010986328125,9.922176e-05,-5.503865078091621,0.6523032784461975,76,0.1,-0.0010019428154919297,0.04832993447780609,0.00074649067,744.6041666666666,15.493785666666668
1080,21,39,43008,0.2300994754768908,0.004638671875,9.918080000000001e-05,-5.4971160143613815,0.6039220690727234,80,0.1,-0.0014543738652719185,0.05398959666490555,0.0011377223,740.9795918367347,15.446131897959186
1082,22,41,45056,0.2952776816673577,0.0,9.913984e-05,-5.490617483854294,0.5071578025817871,84,0.1,-0.0006846081523690373,0.06668590009212494,0.00038620702,746.8867924528302,15.581448641509436
1085,23,43,47104,0.24779997067525983,0.0294189453125,9.909888e-05,-5.489112868905067,0.6045277118682861,88,0.1,-0.0025170201843138784,0.038053832948207855,0.0019301136,747.7592592592592,15.649136796296299
1086,24,45,49152,0.201289898250252,0.0206298828125,9.905792000000001e-05,-5.487931177020073,0.7024120092391968,92,0.1,-0.0015979880990926176,0.04369490593671799,0.0015262761,743.4107142857143,15.565922946428572
1086,25,47,51200,0.23284757230430841,0.0,9.901696e-05,-5.488979369401932,0.6794997453689575,96,0.1,-0.000835345039376989,0.033040646463632584,0.000616477,747.4067796610169,15.749880457627118
1088,26,48,53248,0.2301474902778864,0.0029296875,9.8976e-05,-5.490240544080734,0.6715394258499146,100,0.1,-0.0007674216030864045,0.06334903836250305,0.0009556087,749.6935483870968,15.883519741935483
1088,27,50,55296,0.19578364305198193,0.0162353515625,9.893504e-05,-5.489949613809586,0.5826315879821777,104,0.1,-0.001808627086575143,0.04108676686882973,0.0014968858,754.578125,16.043382390625
1089,28,52,57344,0.22754259128123522,0.031982421875,9.889408e-05,-5.474302724003792,0.3866273760795593,108,0.1,-0.001799451987608336,0.02965555712580681,0.0020199614,761.6029411764706,16.23352148529412
1089,29,54,59392,0.23042783373966813,0.0164794921875,9.885312e-05,-5.47212915122509,0.6439244747161865,112,0.1,-0.001866105871158652,0.044327788054943085,0.0014883039,763.1014492753624,16.233196347826084
1089,30,56,61440,0.2045434289611876,0.009765625,9.881216000000001e-05,-5.467842787504196,0.6072393655776978,116,0.1,-0.0014072010817471892,0.042064469307661057,0.0012010199,763.0,16.22323436111111
1090,31,58,63488,0.23719816654920578,0.0279541015625,9.877120000000001e-05,-5.45497539639473,0.6165597438812256,120,0.1,-0.002225141623057425,0.04541114717721939,0.0018036726,761.2972972972973,16.17102441891892
1091,32,60,65536,0.2311783842742443,0.002197265625,9.873024e-05,-5.451621517539024,0.5944048166275024,124,0.1,-0.000923822408367414,0.045778896659612656,0.0010219251,763.5641025641025,16.33490814102564
1092,33,61,67584,0.24641830939799547,0.0,9.868928000000001e-05,-5.456433638930321,0.6157634258270264,128,0.1,-0.00014079453831072897,0.050168152898550034,0.00025689014,765.7590361445783,16.36025290361446
1093,34,63,69632,0.21871292404830456,0.002685546875,9.864832e-05,-5.4504606276750565,0.7515282034873962,132,0.1,-0.0014393659075722098,0.04418344423174858,0.0008727675,765.7590361445783,16.36025290361446
1094,35,65,71680,0.20113495597615838,0.0526123046875,9.860736e-05,-5.449630096554756,0.5677520036697388,136,0.1,-0.003283928585005924,0.03195542097091675,0.0025680235,764.1071428571429,16.35386898809524
1095,36,67,73728,0.2207829626277089,0.0020751953125,9.85664e-05,-5.451269775629044,0.6735570430755615,140,0.1,-0.001086687872884795,0.05142807960510254,0.0007622963,769.6627906976744,16.5413071627907
1094,37,69,75776,0.24667420983314514,0.0220947265625,9.852544e-05,-5.466181427240372,0.6845130920410156,144,0.1,-0.0012783527781721205,0.07141132652759552,0.001755151,771.7640449438202,16.65155050561798
1094,38,71,77824,0.1784654096700251,0.0,9.848448000000001e-05,-5.475796759128571,0.7010712027549744,148,0.1,-0.0004905091773252934,0.017337415367364883,0.0006044082,771.9347826086956,16.775390413043482
1093,39,73,79872,0.19098140997812152,0.0,9.844352e-05,-5.467491582036018,0.6270580291748047,152,0.1,-0.00021608844690490514,0.012574255466461182,0.0005348816,774.46875,16.890207041666667
1093,40,74,81920,0.26785081485286355,0.0,9.840256000000001e-05,-5.4671062380075455,0.6573154330253601,156,0.1,-0.00031919043976813555,0.06381010264158249,0.00019667213,774.979381443299,16.902459453608248
1093,41,76,83968,0.18586257798597217,0.0107421875,9.83616e-05,-5.4595461040735245,0.734565019607544,160,0.1,-0.0019515363383106887,0.012235105037689209,0.0013250568,780.6565656565657,17.052235000000003
1094,42,78,86016,0.2218013983219862,0.063720703125,9.832064000000001e-05,-5.456638962030411,0.6995968818664551,164,0.1,-0.0027647734677884728,0.04534780979156494,0.0023139657,782.07,17.0787815
1094,43,80,88064,0.2461934764869511,0.0001220703125,9.827968e-05,-5.448831483721733,0.6162086725234985,168,0.1,-0.0008068023453233764,0.041708070784807205,0.0008521446,790.51,17.310909400000003
1095,44,82,90112,0.164600501768291,0.0054931640625,9.823872e-05,-5.448237285017967,0.6967002749443054,172,0.1,-0.000705903657944873,0.01880403608083725,0.0011118223,793.57,17.370314800000003
1095,45,84,92160,0.2030230308882892,0.0023193359375,9.819776000000001e-05,-5.456142157316208,0.6998958587646484,176,0.1,-0.0008236152061726898,0.04875512793660164,0.000871371,800.76,17.70062633
1095,46,85,94208,0.2264827978797257,0.033447265625,9.81568e-05,-5.443005323410034,0.7192493081092834,180,0.1,-0.0025247018202207983,0.0420936681330204,0.0018500006,804.39,17.84615412
1096,47,87,96256,0.20904829259961843,0.015625,9.811584000000001e-05,-5.448128581047058,0.6641764044761658,184,0.1,-0.0007093440653989092,0.03979894518852234,0.0016963071,803.2,17.896418609999998
1096,48,89,98304,0.2290110755711794,0.02978515625,9.807488e-05,-5.427500411868095,0.6773722767829895,188,0.1,-0.0018254959431942552,0.04531963914632797,0.0017516443,803.2,17.896418609999998
1095,49,91,100352,0.11966689745895565,0.067138671875,9.803392e-05,-5.434005975723267,0.7270022630691528,192,0.1,-0.002918427489930764,-0.012155920267105103,0.0025191132,809.96,17.98665563
1095,50,93,102400,0.18922721687704325,0.014404296875,9.799296e-05,-5.4245516657829285,0.7442642450332642,196,0.1,-0.0011800094362115487,0.029584690928459167,0.0012522856,805.57,17.84314441
1094,51,95,104448,0.1696289023384452,0.0086669921875,9.7952e-05,-5.424351379275322,0.800038754940033,200,0.1,-0.0012408806214807555,0.013805747032165527,0.0013712313,806.73,17.94651988
1093,52,97,106496,0.18678212305530906,0.0675048828125,9.791104000000001e-05,-5.419175758957863,0.7800212502479553,204,0.1,-0.002804962859954685,0.0290176160633564,0.0024496766,806.42,17.80988466
1093,53,99,108544,0.1948347268626094,0.053955078125,9.787008e-05,-5.425822585821152,0.811219334602356,208,0.1,-0.002187834950746037,0.017433978617191315,0.002116464,808.74,17.87038669
1093,54,101,110592,0.20445721643045545,0.0225830078125,9.782912000000001e-05,-5.413419917225838,0.6687197089195251,212,0.1,-0.0024576511641498655,0.029969006776809692,0.0018040158,807.48,17.833777089999998
1093,55,103,112640,0.18076188396662474,0.000732421875,9.778816e-05,-5.412206828594208,0.7302169799804688,216,0.1,-0.000798783905338496,0.04426669329404831,0.0006443962,809.98,17.953238409999997
1093,56,104,114688,0.17599993525072932,0.0108642578125,9.774720000000001e-05,-5.4040507376194,0.7041071057319641,220,0.1,-0.0015064908075146377,0.022113922983407974,0.0012875531,811.2,18.05910507
1092,57,106,116736,0.2111559952609241,0.002685546875,9.770624e-05,-5.39742536842823,0.47730499505996704,224,0.1,-0.000732358341338113,0.041899945586919785,0.00085614086,816.77,18.369257329999996
1091,58,108,118784,0.2434227210469544,0.0084228515625,9.766528e-05,-5.418751895427704,0.5210920572280884,228,0.1,-0.001706216120510362,0.04311046004295349,0.0010567701,816.43,18.379252849999997
1090,59,110,120832,0.19818848092108965,0.023193359375,9.762432000000001e-05,-5.427588596940041,0.5234872102737427,232,0.1,-0.00122861385170836,0.029061555862426758,0.0016277479,818.4,18.380915339999998
1089,60,112,122880,0.2517841695807874,0.0372314453125,9.758336e-05,-5.411096021533012,0.5135265588760376,236,0.1,-0.0025361097359564155,0.05544775351881981,0.0018064856,819.85,18.42565535
1087,61,114,124928,0.2479611956514418,0.0267333984375,9.75424e-05,-5.394729897379875,0.6554951667785645,240,0.1,-0.001856591843534261,0.06273289769887924,0.0017741108,818.57,18.56211323
1088,62,116,126976,0.21427531959488988,0.0096435546875,9.750144e-05,-5.377884775400162,0.733106791973114,244,0.1,-0.0017192317172884941,0.05617634952068329,0.0013029901,818.57,18.56211323
