time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
2048,678,3,1,,,,,,,,,,,,
4096,808,5,2,-0.0008761720528127626,4,0.0002498976,0.0009942424,0.002202969044446945,0.2,-5.544736444950104,0.18198400409892201,-0.09308910369873047,0.0,,
6144,893,6,3,-0.0008023064729059115,8,0.0002497952,0.00095029105,0.03463651239871979,0.2,-5.5430464297533035,0.2699901135638356,0.07688963413238525,0.0,,
8192,929,8,4,-0.0013653064088430256,12,0.0002496928,0.0044076107,0.0418863445520401,0.2,-5.535821303725243,0.22298006154596806,0.008604884147644043,0.0084228515625,11.53188,499.0
10240,952,10,5,-0.0032503140973858535,16,0.0002495904,0.0061864043,0.05276142805814743,0.2,-5.525293305516243,0.2252772944048047,0.20232731103897095,0.01611328125,10.582413800000001,578.6
12288,969,12,6,-0.004214103188132867,20,0.00024948799999999997,0.006593964,0.015939980745315552,0.2,-5.524136543273926,0.17403831519186497,0.3327171802520752,0.0286865234375,11.011272666666665,632.7777777777778
14336,978,14,7,-0.0015072084497660398,24,0.0002493856,0.001737362,0.05288659408688545,0.2,-5.527623191475868,0.2515217438340187,0.42975133657455444,0.0,14.277771666666665,714.2
16384,989,16,8,-0.000995523776509799,28,0.0002492832,0.002764709,0.0335402712225914,0.2,-5.520682796835899,0.2486616442911327,0.39554834365844727,0.001220703125,14.21324175,726.5
18432,998,18,9,-0.0006459571741288528,32,0.0002491808,0.0026470232,0.02819901704788208,0.2,-5.505917087197304,0.2176334890536964,0.4134828448295593,0.0003662109375,14.21324175,726.5
20480,1002,20,10,-0.003718410516739823,36,0.0002490784,0.006148318,0.013813313096761703,0.2,-5.490331992506981,0.16881718626245856,0.6116648316383362,0.0186767578125,13.878715823529411,723.5294117647059
22528,1007,22,11,-0.0017174560634884983,40,0.000248976,0.0033055265,0.0461680069565773,0.2,-5.499506399035454,0.21925855334848166,0.5128867626190186,0.001708984375,13.612093000000002,726.421052631579
24576,1012,24,12,-0.0009115688662859611,44,0.00024887360000000003,0.0027316823,0.02554474025964737,0.2,-5.493434652686119,0.23926089238375425,0.3803443908691406,0.0001220703125,14.48929931818182,736.6818181818181
26624,1013,26,13,-0.0020566244929796085,48,0.0002487712,0.0043517873,0.05378580093383789,0.2,-5.478204607963562,0.2609216533601284,0.5636087656021118,0.007568359375,15.578393379310345,759.6206896551724
28672,1017,28,14,-0.0038733326946385205,52,0.0002486688,0.007962666,0.05125321447849274,0.2,-5.435868635773659,0.23974528117105365,0.4962655305862427,0.0479736328125,16.114708290322582,767.741935483871
30720,1019,30,15,-0.002752414351562038,56,0.0002485664,0.0057055284,0.018168821930885315,0.2,-5.435872703790665,0.2080943719483912,0.48061925172805786,0.013671875,16.27206528125,773.53125
32768,1022,32,16,-0.000737739319447428,60,0.000248464,0.006165733,0.03765236586332321,0.2,-5.443578630685806,0.20389601401984692,0.587439239025116,0.0177001953125,16.160568757575756,768.8181818181819
34816,1025,33,17,-0.002682706865016371,64,0.0002483616,0.0046013496,0.017508283257484436,0.2,-5.461092799901962,0.2009492046199739,0.6757264137268066,0.009521484375,16.359286147058825,769.0
36864,1025,35,18,-0.002235423802630976,68,0.00024825920000000004,0.0039431513,0.09703311324119568,0.2,-5.473766639828682,0.2940233536064625,0.6732032299041748,0.0072021484375,16.40219534146342,758.5365853658536
38912,1027,37,19,-0.0017858925566542894,72,0.00024815680000000003,0.0026338638,0.07684354484081268,0.2,-5.457196623086929,0.31021873326972127,0.7147297859191895,0.00048828125,16.934195739130434,764.8913043478261
40960,1029,39,20,-0.0033772946044337004,76,0.0002480544,0.009522848,0.05090650916099548,0.2,-5.440271317958832,0.20507149817422032,0.7666410207748413,0.0609130859375,17.015349234042553,766.9148936170212
43008,1029,41,21,-0.0045116238470654935,80,0.000247952,0.006355622,0.024781137704849243,0.2,-5.442190900444984,0.19888042425736785,0.692179799079895,0.0411376953125,17.100925270833333,766.4166666666666
45056,1030,43,22,-0.004023853078251705,84,0.0002478496,0.0062139407,0.016081131994724274,0.2,-5.407694578170776,0.18858615309000015,0.6752780675888062,0.03955078125,17.14630382,765.24
47104,1031,45,23,-0.003317675436846912,88,0.0002477472,0.004222121,0.037048228085041046,0.2,-5.396777167916298,0.26704541547223926,0.7290816307067871,0.003173828125,16.969316509433963,757.6037735849056
49152,1032,47,24,-0.005648316509905271,92,0.0002476448,0.0067257434,0.02730332687497139,0.2,-5.364199191331863,0.19212889252230525,0.809253454208374,0.031005859375,16.955331210526317,754.9122807017544
51200,1032,49,25,-0.004488132355618291,96,0.0002475424,0.004272879,0.04378320276737213,0.2,-5.3492637276649475,0.2646514680236578,0.7210814356803894,0.0224609375,17.12913673770492,754.9180327868852
53248,1032,51,26,-0.004229428479447961,100,0.00024744,0.007793552,0.04973343014717102,0.2,-5.325171068310738,0.254440878983587,0.6743384599685669,0.0496826171875,17.432784109375,758.515625
55296,1033,53,27,-0.006765313431969844,104,0.0002473376,0.006589432,0.06961888819932938,0.2,-5.335511013865471,0.28590930672362447,0.595230758190155,0.06787109375,17.432784109375,758.515625
57344,1034,55,28,-0.003210367474821396,108,0.0002472352,0.005299977,0.08389168977737427,0.2,-5.345562860369682,0.2712259581312537,0.6535118222236633,0.01708984375,17.38830007352941,753.25
59392,1034,57,29,-0.008311205165227875,112,0.0002471328,0.010214176,0.014415010809898376,0.2,-5.3274520337581635,0.22565801721066236,0.7694013118743896,0.1199951171875,17.452100577464787,751.2394366197183
61440,1034,59,30,-0.003594150097342208,116,0.0002470304,0.005236056,0.04780888557434082,0.2,-5.316295728087425,0.28368798503652215,0.7574028968811035,0.043701171875,17.371273342465756,748.7534246575342
63488,1034,61,31,-0.003374506253749132,120,0.000246928,0.0054608253,0.032572172582149506,0.2,-5.353435963392258,0.22337043099105358,0.831538200378418,0.020263671875,17.563769792207797,748.922077922078
65536,1034,63,32,-0.00447463066666387,124,0.00024682560000000004,0.005147922,0.060187436640262604,0.2,-5.27337372303009,0.24718807777389884,0.7950806617736816,0.03125,17.746593109756095,746.6463414634146
67584,1035,65,33,-0.003407505457289517,128,0.00024672320000000003,0.00864009,0.05286228284239769,0.2,-5.289890468120575,0.2718708268366754,0.7507709860801697,0.0472412109375,17.692291,745.3734939759037
69632,1035,67,34,-0.0020474504854064435,132,0.0002466208,0.0033182038,0.04837653040885925,0.2,-5.28782756626606,0.23130316101014614,0.788777232170105,0.0150146484375,17.746468413793103,741.2758620689655
71680,1035,69,35,-0.004592166660586372,136,0.0002465184,0.00499064,0.04508606716990471,0.2,-5.31863696873188,0.24952141242101789,0.8095474243164062,0.0235595703125,17.82298761111111,738.3888888888889
73728,1035,71,36,-0.006991583431954496,140,0.000246416,0.007614907,0.06299443542957306,0.2,-5.291285648941994,0.24660101206973195,0.8399028182029724,0.0838623046875,17.852870212765957,731.7234042553191
75776,1034,73,37,-0.003297349263448268,144,0.0002463136,0.0047328146,0.03936394676566124,0.2,-5.2878231555223465,0.2178615448065102,0.8427367210388184,0.025146484375,17.949660846938777,728.3469387755102
77824,1035,75,38,-0.0050231934583280236,148,0.0002462112,0.0036791384,0.041655950248241425,0.2,-5.305147558450699,0.24360320204868913,0.8451038599014282,0.0548095703125,17.93223374747475,726.89898989899
79872,1035,77,39,-0.00525371782714501,152,0.0002461088,0.005845623,0.03180009126663208,0.2,-5.293411120772362,0.2267525033093989,0.8336559534072876,0.0465087890625,18.19283262,726.09
81920,1035,79,40,-0.0025514376466162503,156,0.00024600640000000003,0.0043740887,0.0647955983877182,0.2,-5.302545145153999,0.3296386324800551,0.8140755891799927,0.0230712890625,18.39329054,726.69
83968,1035,81,41,-0.0055257704079849645,160,0.000245904,0.005637898,0.018370576202869415,0.2,-5.3211598843336105,0.22046957910060883,0.8889829516410828,0.0411376953125,18.6690654,720.9
86016,1035,83,42,-0.008869269309798256,164,0.0002458016,0.008006137,0.036755237728357315,0.2,-5.304424196481705,0.20922257006168365,0.8912121653556824,0.0615234375,18.67519179,715.72
88064,1036,84,43,-0.003363078663824126,168,0.0002456992,0.0055690687,0.015422411262989044,0.2,-5.271265581250191,0.2632901933975518,0.8198721408843994,0.040283203125,18.7060434,713.69
90112,1036,86,44,-0.004850983707001433,172,0.0002455968,0.0057159103,0.050351571291685104,0.2,-5.289975270628929,0.2541238213889301,0.8654410243034363,0.0478515625,19.09775392,707.92
92160,1036,88,45,-0.004138311676797457,176,0.0002454944,0.0036312626,0.05478066951036453,0.2,-5.2667302787303925,0.21571781812235713,0.8972442150115967,0.059326171875,19.17724789,701.34
94208,1036,90,46,-0.003678157168906182,180,0.000245392,0.005979345,0.03621400147676468,0.2,-5.241642653942108,0.21618840657174587,0.9043639898300171,0.0621337890625,19.167004190000004,691.73
96256,1036,92,47,-0.0021396025695139542,184,0.0002452896,0.003968896,0.10129505395889282,0.2,-5.2682473957538605,0.31276323134079576,0.8415884971618652,0.0523681640625,19.212625580000005,687.57
98304,1036,94,48,-0.004001341440016404,188,0.0002451872,0.0036819738,0.0609695203602314,0.2,-5.228806972503662,0.24853694858029485,0.8890126943588257,0.025390625,19.08640889,674.44
100352,1035,96,49,-0.0038645298627670854,192,0.0002450848,0.0075908927,0.08053289353847504,0.2,-5.207214683294296,0.2960846093483269,0.8503257632255554,0.056884765625,19.27158857,669.44
102400,1035,98,50,-0.00443879293743521,196,0.0002449824,0.005336314,0.04540769010782242,0.2,-5.20703911781311,0.2511825687251985,0.9034764766693115,0.10009765625,19.22648568,659.59
104448,1036,100,51,-0.006232947373064235,200,0.00024488,0.0051367227,0.035657286643981934,0.2,-5.1942887753248215,0.23694144561886787,0.8777903318405151,0.0406494140625,19.31223706,656.77
106496,1035,102,52,-0.006475125526776537,204,0.0002447776,0.007668299,0.07754893600940704,0.2,-5.163358107209206,0.30905244080349803,0.8689985275268555,0.0528564453125,19.1411126,642.48
108544,1035,104,53,-0.004289394855732098,208,0.00024467520000000004,0.0028936635,0.1550806164741516,0.2,-5.228408709168434,0.4035339942201972,0.8444656133651733,0.02099609375,19.393214909999998,642.41
110592,1034,106,54,-0.0028324476297711954,212,0.00024457280000000003,0.0067406837,0.09108105301856995,0.2,-5.204763814806938,0.31355736032128334,0.8880937695503235,0.057373046875,19.53082504,631.8
112640,1034,108,55,-0.003404486007639207,216,0.0002444704,0.0024845484,0.06964509189128876,0.2,-5.224826946854591,0.2871208102442324,0.883447527885437,0.017333984375,19.51946323,624.88
114688,1034,110,56,-0.006070821749744937,220,0.000244368,0.0053717312,0.0626550167798996,0.2,-5.25719390809536,0.29060111148282886,0.8664267659187317,0.0650634765625,19.103083550000004,603.11
116736,1034,112,57,-0.005068426267825998,224,0.0002442656,0.006942848,0.0577038899064064,0.2,-5.227246314287186,0.28164348332211375,0.8816174864768982,0.0411376953125,19.04821992,601.75
118784,1034,114,58,-0.003908971993951127,228,0.0002441632,0.0045846566,0.04704694449901581,0.2,-5.292502298951149,0.264653405174613,0.8693533539772034,0.0264892578125,19.09200791,597.36
120832,1033,116,59,-0.005216012301389128,232,0.0002440608,0.005906093,0.0770321786403656,0.2,-5.313661262392998,0.2657991023734212,0.8772139549255371,0.039794921875,19.19966577,588.08
122880,1034,118,60,-0.004918013772112317,236,0.00024395839999999998,0.0059776567,0.03819745033979416,0.2,-5.306166768074036,0.2334860279224813,0.9112253785133362,0.0220947265625,19.16392217,586.35
124928,1034,120,61,-0.0055675207695458084,240,0.000243856,0.008763805,0.045089155435562134,0.2,-5.178493112325668,0.19087082147598267,0.928618848323822,0.0789794921875,19.324014910000002,584.81
126976,1034,122,62,-0.003053474356420338,244,0.0002437536,0.0075227236,0.06144299358129501,0.2,-5.218565434217453,0.2648015208542347,0.8990408182144165,0.076171875,19.24165332,577.42
129024,1034,124,63,-0.004879026077105664,248,0.00024365120000000002,0.010071037,0.07419344782829285,0.2,-5.215951785445213,0.30975190456956625,0.883126974105835,0.06396484375,19.20606507,576.33
131072,1034,126,64,-0.002931175105914008,252,0.0002435488,0.006374323,0.05421700328588486,0.2,-5.207614377140999,0.28188307164236903,0.8989090323448181,0.06591796875,19.222100440000002,575.25
133120,1034,128,65,-0.005443708854727447,256,0.0002434464,0.0070093456,0.019064731895923615,0.2,-5.244164913892746,0.2006157450377941,0.9232592582702637,0.0390625,19.218835149999997,570.68
135168,1034,130,66,-0.0030162737239152193,260,0.00024334400000000002,0.0076718163,0.047308508306741714,0.2,-5.272784993052483,0.2304774266667664,0.8624656200408936,0.0601806640625,19.264639839999997,570.74
137216,1034,132,67,-0.003933058906113729,264,0.0002432416,0.0044981632,0.0517410933971405,0.2,-5.280348628759384,0.24970928579568863,0.9047273993492126,0.083740234375,19.281462319999996,570.74
139264,1034,134,68,-0.00745186980930157,268,0.0002431392,0.008706735,0.05522314831614494,0.2,-5.231389209628105,0.24375549284741282,0.9065470695495605,0.0877685546875,19.46866509,567.98
141312,1034,136,69,-0.004159045114647597,272,0.0002430368,0.006562317,0.07707522809505463,0.2,-5.256149232387543,0.2786044282838702,0.9051369428634644,0.0496826171875,19.3380994,563.85
143360,1034,138,70,0.0019479589245747775,276,0.0002429344,0.01422831,0.04088049381971359,0.2,-5.191310003399849,0.19554310897365212,0.9379386901855469,0.13427734375,19.09051153,557.74
145408,1035,140,71,-0.007152407866669819,280,0.000242832,0.009384223,0.0366850271821022,0.2,-5.229052290320396,0.22880744747817516,0.9171446561813354,0.090576171875,19.17148002,557.66
147456,1035,142,72,-0.005640378687530756,284,0.0002427296,0.007568796,0.028625380247831345,0.2,-5.289628818631172,0.22390270233154297,0.8878381252288818,0.0540771484375,19.156129469999996,555.93
149504,1035,144,73,-0.0050773717812262475,288,0.0002426272,0.008288456,0.06492874026298523,0.2,-5.321521207690239,0.24559851456433535,0.8516454100608826,0.0924072265625,19.07955817,553.17
151552,1035,146,74,-0.006919735897099599,292,0.0002425248,0.010120766,0.028271999210119247,0.2,-5.237092241644859,0.1924376212991774,0.9191581606864929,0.0810546875,19.23490618,554.43
153600,1034,148,75,-0.006029016629327089,296,0.0002424224,0.009037222,0.02841344103217125,0.2,-5.229400798678398,0.19182071276009083,0.9399002194404602,0.1241455078125,19.47357048,559.71
155648,1035,150,76,-0.0072448757418897,300,0.00024232000000000002,0.011360993,0.06797698140144348,0.2,-5.183113291859627,0.25689550722017884,0.8703415989875793,0.0889892578125,19.456900029999996,558.66
157696,1035,152,77,-0.005056024441728368,304,0.00024221760000000002,0.0072174594,0.03627511113882065,0.2,-5.19399656355381,0.20521671697497368,0.9004414081573486,0.047607421875,19.522621400000002,562.41
159744,1034,154,78,-0.003709359487402253,308,0.0002421152,0.008522264,0.06647134572267532,0.2,-5.219602391123772,0.2761423825286329,0.8751494288444519,0.101318359375,19.52870368,562.58
161792,1033,156,79,-0.0062692544888705015,312,0.0002420128,0.008023847,0.03520406410098076,0.2,-5.206988200545311,0.21464645117521286,0.9271252155303955,0.062744140625,19.67708819,568.41
163840,1033,158,80,-0.006091944393119775,316,0.0002419104,0.0061242953,0.043529994785785675,0.2,-5.164162769913673,0.2484587710350752,0.8803826570510864,0.1043701171875,19.86490555,571.29
