time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
2048,2,1,986,,,,,,,,,,,,
4096,4,2,1002,0.0018536177,-0.0012652600998990238,0.0004997952,-5.544167637825012,-0.09308910369873047,0.1,0.16206280677579343,0.0225830078125,0.00039916858077049255,4,,
6144,5,3,1041,0.0016165685,-0.0011429208680056036,0.0004995904,-5.543964400887489,0.09682059288024902,0.1,0.2190133989788592,0.0230712890625,0.01751549169421196,8,,
8192,7,4,1051,0.0017241668,-0.0012655287137022242,0.0004993856,-5.542337283492088,0.08831840753555298,0.1,0.17325810715556145,0.02587890625,0.02669632062315941,12,12.293184,501.0
10240,9,5,1055,0.00164008,-0.0019127991836285219,0.0004991808,-5.540049374103546,0.2074871063232422,0.1,0.20208218460902572,0.0325927734375,0.02463778853416443,16,9.8095315,578.25
12288,11,6,1057,0.0023345375,-0.0018134308193111792,0.0004989759999999999,-5.53708253800869,0.3240163326263428,0.1,0.17895953310653567,0.0526123046875,0.012696929275989532,20,11.104688777777778,643.6666666666666
14336,13,7,1058,0.0013135015,-0.0014879513983032666,0.0004987712,-5.536022499203682,0.3809794783592224,0.1,0.1522787888534367,0.02978515625,0.004310715943574905,24,12.438490083333333,690.5833333333334
16384,15,8,1059,0.0022786558,-0.002595096972072497,0.0004985664,-5.536471292376518,0.3650801181793213,0.1,0.2618700386956334,0.0601806640625,0.0764518529176712,28,13.2833706875,725.5
18432,17,9,1061,0.0024930276,-0.003973059399868362,0.0004983616,-5.533094808459282,0.524139404296875,0.1,0.18204251304268837,0.08837890625,0.00831989198923111,32,14.009549058823529,743.7647058823529
20480,19,10,1061,0.0011242894,-0.0011242235777899623,0.0004981568,-5.535063728690147,0.5221444368362427,0.1,0.17251948826014996,0.019775390625,0.016695208847522736,36,13.803387944444445,733.9444444444445
22528,21,11,1057,0.002132689,-0.0032533594639971852,0.000497952,-5.531886518001556,0.48650938272476196,0.1,0.18342144135385752,0.0855712890625,0.02223321422934532,40,13.6263988,719.35
24576,23,12,1054,0.0014248542,-0.0034853755350923166,0.0004977472000000001,-5.531615644693375,0.5270034074783325,0.1,0.21420243103057146,0.0550537109375,0.021468643099069595,44,14.325195749999999,728.7916666666666
