time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,2,682,2048,,,,,,,,,,,,
2,5,808,4096,0.0040292596,0.0004997952,-0.001511311886133626,0.0198974609375,-5.543471783399582,0.1621497035957873,4,0.15,-0.09308910369873047,0.0007812827825546265,,
3,7,876,6144,0.0021513198,0.0004995904,-0.0004879222105955705,0.0054931640625,-5.542201519012451,0.2402943572960794,8,0.15,0.08680510520935059,0.03179502114653587,,
4,8,925,8192,0.0028508403,0.0004993856,-0.0020926217548549175,0.0372314453125,-5.535866141319275,0.17836941429413855,12,0.15,0.11668705940246582,0.022994928061962128,501.0,12.312581
5,10,953,10240,0.0036973204,0.0004991808,-0.0030321610684040934,0.03955078125,-5.5314566642045975,0.2287219511345029,16,0.15,0.258178174495697,0.02615591138601303,545.6666666666666,10.783188666666668
6,12,957,12288,0.0064431913,0.0004989759999999999,-0.0022574368776986375,0.0447998046875,-5.521057084202766,0.18546595657244325,20,0.15,0.37607520818710327,0.009469278156757355,653.8333333333334,12.303181333333333
7,15,955,14336,0.0046722814,0.0004987712,-0.003613854481955059,0.074462890625,-5.509352549910545,0.19569169590249658,24,0.15,0.46613311767578125,0.02471085637807846,653.8333333333334,12.303181333333333
8,16,968,16384,0.0042270995,0.0004985664,-0.0018308971193619072,0.0313720703125,-5.5138576328754425,0.21012210752815008,28,0.15,0.4275233745574951,0.05113484337925911,726.4375,14.351433687499998
9,18,981,18432,0.0036858553,0.0004983616,-0.0022128422860987484,0.06982421875,-5.509578689932823,0.23184481775388122,32,0.15,0.4681888222694397,0.030933652073144913,719.8235294117648,14.10939788235294
10,20,990,20480,0.0040212153,0.0004981568,-0.0028643136174650863,0.033935546875,-5.5001910626888275,0.2422977010719478,36,0.15,0.5317246317863464,0.05425773561000824,718.8888888888889,14.17912461111111
11,22,990,22528,0.003494549,0.000497952,-0.003646201148512773,0.056640625,-5.509801164269447,0.18759248545393348,40,0.15,0.6682823896408081,0.031230531632900238,714.9047619047619,14.34509419047619
12,25,981,24576,0.0038291751,0.0004977472000000001,-0.003703296068124473,0.048583984375,-5.513976141810417,0.1657709190621972,44,0.15,0.6479069590568542,0.020878955721855164,722.2083333333334,14.678901333333334
13,26,986,26624,0.0044078557,0.0004975424,-0.005202495201956481,0.06884765625,-5.513297989964485,0.24809350725263357,48,0.15,0.5104323625564575,0.046853743493556976,743.925925925926,15.160557777777777
14,28,993,28672,0.0055562574,0.0004973376,-0.004632433614460751,0.0919189453125,-5.517870679497719,0.19463678821921349,52,0.15,0.49289143085479736,0.038787923753261566,749.6896551724138,15.294074206896553
15,30,998,30720,0.004510632,0.0004971328,-0.00505623962089885,0.0838623046875,-5.51175744831562,0.2464243471622467,56,0.15,0.5093215703964233,0.07178797572851181,768.5625,16.08984765625
16,32,1005,32768,0.004131526,0.000496928,-0.005714681014069356,0.0692138671875,-5.501093789935112,0.19177094288170338,60,0.15,0.6732714772224426,0.027643680572509766,768.5625,16.08984765625
17,34,1007,34816,0.0035750808,0.0004967232,-0.0024230547569459304,0.0611572265625,-5.503960236907005,0.17754016537219286,64,0.15,0.7160361409187317,-0.0023106560111045837,768.8333333333334,16.36799963888889
18,36,1010,36864,0.004653177,0.0004965184000000001,-0.005110059573780745,0.060302734375,-5.495309352874756,0.19379516784101725,68,0.15,0.7282556295394897,0.009619906544685364,777.4102564102565,16.56788474358974
19,38,1010,38912,0.00598373,0.0004963136000000001,-0.0032299117010552436,0.0692138671875,-5.4912122786045074,0.1871028607711196,72,0.15,0.7945206165313721,0.012980639934539795,781.3571428571429,16.86207292857143
20,40,1011,40960,0.00463006,0.0004961088,-0.005227810790529475,0.0654296875,-5.492050722241402,0.22503423132002354,76,0.15,0.7168992757797241,0.04095941781997681,779.9111111111112,16.943499155555553
21,42,1014,43008,0.0050647277,0.000495904,-0.004929144706693478,0.072265625,-5.477241471409798,0.19550680834800005,80,0.15,0.7929775714874268,0.02312619984149933,779.7391304347826,17.03950167391304
22,44,1016,45056,0.0034423568,0.0004956992,-0.002563120433478616,0.0601806640625,-5.464716449379921,0.20386603847146034,84,0.15,0.7728098034858704,0.03944515436887741,773.1020408163265,16.95254912244898
23,46,1018,47104,0.0049819928,0.0004954944,-0.00642937385418918,0.06689453125,-5.44658263027668,0.21887742402032018,88,0.15,0.7285797595977783,0.027500685304403305,778.1730769230769,17.42600828846154
24,48,1019,49152,0.0041816244,0.0004952896,-0.004430155531736091,0.0904541015625,-5.455496519804001,0.19860963942483068,92,0.15,0.8254004716873169,0.01381625235080719,774.3448275862069,17.739062620689655
25,50,1021,51200,0.0074982466,0.0004950848,-0.0031586093828082085,0.120849609375,-5.434889331459999,0.19393749302253127,96,0.15,0.7919449806213379,0.011788517236709595,771.5166666666667,17.7491963
26,51,1024,53248,0.00520318,0.00049488,-0.0021971649257466197,0.0966796875,-5.44554004073143,0.169691133312881,100,0.15,0.7397813200950623,0.027528315782546997,768.7868852459017,17.704601704918034
27,53,1025,55296,0.0049616164,0.0004946752,-0.00709458434721455,0.1278076171875,-5.447962433099747,0.20351444510743022,104,0.15,0.7346709370613098,0.025099702179431915,768.484375,17.89593665625
28,55,1025,57344,0.006203676,0.0004944704,-0.004009761934867129,0.0706787109375,-5.438267305493355,0.20719154924154282,108,0.15,0.7012208104133606,0.002139158546924591,760.5820895522388,17.765999582089552
29,57,1025,59392,0.005345136,0.0004942656,-0.003310918007628061,0.0782470703125,-5.4389985501766205,0.2002946580760181,112,0.15,0.7772008776664734,0.02828183025121689,754.2957746478874,17.78713181690141
30,60,1021,61440,0.004394084,0.0004940608,-0.004231729748426005,0.1375732421875,-5.4237547516822815,0.2223718361929059,116,0.15,0.7342105507850647,0.021427392959594727,757.1733333333333,18.112563026666663
31,62,1021,63488,0.007496148,0.000493856,-0.007824267740943469,0.1385498046875,-5.439953565597534,0.1888328678905964,120,0.15,0.8082095384597778,0.002923332154750824,756.4155844155844,18.188504701298697
32,63,1024,65536,0.004746019,0.0004936512000000001,-0.0011726854427251965,0.0972900390625,-5.448848709464073,0.21263098903000355,124,0.15,0.777412474155426,0.035028666257858276,748.4050632911392,18.026604670886073
33,65,1024,67584,0.0067730653,0.0004934464000000001,-0.0061997600860195234,0.117431640625,-5.430977135896683,0.20403791684657335,128,0.15,0.7874374985694885,0.002928711473941803,745.9156626506024,18.103380493975905
34,68,1023,69632,0.0030587665,0.0004932416,-0.003694005383295007,0.0755615234375,-5.4236761033535,0.2682174905203283,132,0.15,0.7588251829147339,0.05759049952030182,738.2134831460675,18.206890898876406
35,69,1024,71680,0.0063543967,0.0004930368,-0.005724648595787585,0.08740234375,-5.420726329088211,0.2043034411035478,136,0.15,0.8490797281265259,0.009842082858085632,736.4555555555555,18.176708455555556
36,71,1026,73728,0.0054723057,0.000492832,-0.005074660017271526,0.1536865234375,-5.412285685539246,0.18597845500335097,140,0.15,0.885380744934082,0.011898651719093323,735.516129032258,18.275575817204302
37,73,1028,75776,0.0067632,0.0004926272,-0.006296709689195268,0.1197509765625,-5.386389568448067,0.195552421733737,144,0.15,0.8755843043327332,0.015322059392929077,733.1808510638298,18.22385770212766
38,75,1028,77824,0.0066631157,0.0004924224,-0.008044625385082327,0.1663818359375,-5.396350204944611,0.1859638295136392,148,0.15,0.8662598133087158,0.016279444098472595,727.4,18.2399646
39,77,1029,79872,0.0063942485,0.0004922176,-0.005954077918431722,0.11279296875,-5.389387413859367,0.2480607545003295,152,0.15,0.8730007410049438,0.04474087432026863,730.71,18.49799802
40,79,1029,81920,0.0045241686,0.0004920128000000001,-0.0031968514231266454,0.10986328125,-5.384974032640457,0.20459402864798903,156,0.15,0.9247720241546631,0.035332851111888885,728.21,18.764955739999998
41,81,1030,83968,0.0074293837,0.000491808,-0.0047982792457332835,0.1533203125,-5.37131080031395,0.20520929852500558,160,0.15,0.8843922019004822,0.012776128947734833,729.83,18.992128700000002
42,83,1031,86016,0.0059080343,0.0004916032,-0.005672380561009049,0.102294921875,-5.368996158242226,0.1680520768277347,164,0.15,0.9175208806991577,0.013134688138961792,728.7,19.05715378
43,85,1031,88064,0.0076675406,0.0004913984,-0.0061002558504696935,0.1162109375,-5.371599927544594,0.21481498330831528,168,0.15,0.8829115629196167,0.0391516275703907,714.96,18.98104324
44,87,1029,90112,0.009746574,0.0004911936,-0.00200841820333153,0.155517578125,-5.369342237710953,0.21593928104266524,172,0.15,0.8606427907943726,0.01523900032043457,714.9,19.18256478
45,89,1029,92160,0.00873096,0.0004909888,-0.004010044998722151,0.223388671875,-5.3111231327056885,0.22236252017319202,176,0.15,0.8895893096923828,0.021290600299835205,712.97,19.39421186
46,91,1029,94208,0.007085009,0.000490784,-0.004967248736647889,0.122314453125,-5.316936299204826,0.2061754814349115,180,0.15,0.8776684403419495,0.030979283154010773,711.65,19.413108259999998
47,93,1029,96256,0.00964329,0.0004905792,-0.005674084066413343,0.1575927734375,-5.346240803599358,0.22624711273238063,184,0.15,0.8589000701904297,0.012925542891025543,702.23,19.457231280000002
48,95,1029,98304,0.008963589,0.0004903744,-0.0026507009024498984,0.170654296875,-5.332018136978149,0.18141398578882217,188,0.15,0.9049760103225708,0.0016799047589302063,689.05,19.51885562
49,97,1028,100352,0.00852656,0.0004901696,-0.0070999988238327205,0.1409912109375,-5.3244301825761795,0.15337062301114202,192,0.15,0.9173794388771057,-0.009670153260231018,686.24,19.526877589999998
50,99,1028,102400,0.0073486953,0.0004899648,-0.006160784454550594,0.14306640625,-5.33200566470623,0.24197820108383894,196,0.15,0.847192645072937,0.0463312566280365,685.24,19.742600460000002
51,101,1028,104448,0.0064750034,0.00048976,-0.006460813601734117,0.1143798828125,-5.334423065185547,0.19539571180939674,200,0.15,0.8833464980125427,0.029104363173246384,683.41,19.779503260000002
52,103,1029,106496,0.008350308,0.0004895552,-0.00834440250764601,0.1575927734375,-5.327761247754097,0.15977753838524222,204,0.15,0.8982893824577332,9.593367576599121e-05,671.27,19.72083783
53,105,1029,108544,0.005959241,0.0004893504000000001,-0.008708596651558764,0.10888671875,-5.2685292810201645,0.2254110719077289,208,0.15,0.8516934514045715,0.005124762654304504,670.66,19.819666060000003
54,107,1029,110592,0.008986881,0.0004891456000000001,-0.007061641576001421,0.15576171875,-5.2734483778476715,0.17948917439207435,212,0.15,0.9113852977752686,-0.0016262158751487732,673.67,20.03458797
55,109,1029,112640,0.008889369,0.0004889408,-0.007616442206199281,0.148681640625,-5.262235790491104,0.18913345923647285,216,0.15,0.907446563243866,0.009222481399774551,668.81,19.89272761
56,111,1029,114688,0.009361032,0.000488736,-0.010003037852584384,0.1519775390625,-5.281465634703636,0.17676025652326643,220,0.15,0.8956775069236755,0.008908264338970184,668.17,19.92445988
57,113,1029,116736,0.0067984927,0.0004885312,-0.008230522187659517,0.131103515625,-5.287299826741219,0.1915526781231165,224,0.15,0.9064957499504089,-0.003462493419647217,666.25,20.213355089999997
58,115,1029,118784,0.009289646,0.0004883264,-0.007568330940557644,0.1832275390625,-5.222525879740715,0.17104101413860917,228,0.15,0.9185737371444702,0.0068823546171188354,667.82,20.40860177
59,117,1030,120832,0.009310937,0.0004881216,-0.0044012268699589185,0.127197265625,-5.239356085658073,0.23100986890494823,232,0.15,0.867270827293396,0.024704284965991974,665.17,20.38735698
60,119,1030,122880,0.0075996323,0.00048791679999999997,-0.008588889773818664,0.17236328125,-5.187004581093788,0.20432810531929135,236,0.15,0.9056969285011292,0.02579333633184433,665.47,20.42739925
61,121,1030,124928,0.0068060425,0.000487712,-0.005736194798373617,0.112060546875,-5.245013862848282,0.21095714811235666,240,0.15,0.8683221936225891,0.03603341430425644,669.04,20.761107319999997
62,123,1029,126976,0.010932275,0.0004875072,-0.006956803335924633,0.200439453125,-5.223639354109764,0.1849161342252046,244,0.15,0.8863906860351562,0.02864663302898407,665.88,20.817547010000002
63,125,1029,129024,0.009039028,0.00048730240000000003,-0.005523282365174964,0.162841796875,-5.20306758582592,0.22972036991268396,248,0.15,0.8893207311630249,0.029698863625526428,664.65,20.88016909
64,127,1029,131072,0.0055373134,0.0004870976,-0.006210937717696652,0.12744140625,-5.23918391764164,0.13917672005482018,252,0.15,0.9330359697341919,-0.007566586136817932,666.04,21.0112416
65,129,1029,133120,0.00852732,0.0004868928,-0.006277279448113404,0.14208984375,-5.196357548236847,0.1789813726209104,256,0.15,0.8952871561050415,0.026590943336486816,669.42,21.20708834
66,131,1030,135168,0.005339164,0.00048668800000000004,-0.007372193154878914,0.1181640625,-5.211122125387192,0.14651824533939362,260,0.15,0.9185666441917419,-0.0009482875466346741,672.03,21.369834929999996
67,133,1030,137216,0.0077808816,0.0004864832,-0.0070069834182504565,0.1484375,-5.25786954164505,0.15248963586054742,264,0.15,0.929664671421051,-0.0034015104174613953,671.37,21.382692229999996
68,135,1030,139264,0.008836069,0.0004862784,-0.008685472304932773,0.14501953125,-5.179278641939163,0.15612029819749296,268,0.15,0.9310029745101929,-0.009809009730815887,677.19,21.664213880000005
69,137,1031,141312,0.010180648,0.0004860736,-0.005224196385825053,0.17919921875,-5.159762725234032,0.1949441039469093,272,0.15,0.896120548248291,0.011413663625717163,678.13,21.764892480000004
70,138,1031,143360,0.010408352,0.0004858688,-0.008313406171509996,0.1661376953125,-5.127488881349564,0.1642576758749783,276,0.15,0.916930079460144,0.003733105957508087,678.02,21.87085568
71,140,1031,145408,0.008743853,0.000485664,-0.005590547836618498,0.1678466796875,-5.150990381836891,0.189697599504143,280,0.15,0.9117569923400879,0.01667460799217224,679.49,21.941128009999996
72,142,1031,147456,0.007892035,0.0004854592,-0.00801001864601858,0.1448974609375,-5.180449679493904,0.1399362664669752,284,0.15,0.9259708523750305,-0.0068405866622924805,680.56,22.022294940000002
73,144,1031,149504,0.008317171,0.0004852544,-0.009263134088541847,0.15185546875,-5.176132142543793,0.13631329056806862,288,0.15,0.9301608800888062,-0.00606217235326767,685.42,22.401079469999996
74,146,1031,151552,0.009935819,0.0004850496,-0.007950025814352557,0.1671142578125,-5.166724234819412,0.1329033907968551,292,0.15,0.9447118043899536,-0.0026975423097610474,689.0,22.52826044
75,148,1031,153600,0.0105620045,0.0004848448,-0.00463560369098559,0.1983642578125,-5.124823451042175,0.1801033979281783,296,0.15,0.9247355461120605,0.013173684477806091,688.72,22.662003409999997
76,151,1030,155648,0.008901497,0.00048464000000000005,-0.00785080561763607,0.1531982421875,-5.138777405023575,0.1769705875776708,300,0.15,0.9173212647438049,0.008054569363594055,691.66,22.80955134
77,153,1030,157696,0.0081545375,0.00048443520000000003,-0.0033866456942632794,0.211181640625,-5.14472171664238,0.15768690314143896,304,0.15,0.9039471745491028,0.005131080746650696,691.06,23.0447109
78,155,1030,159744,0.009225139,0.0004842304,-0.006612445926293731,0.1964111328125,-5.149671778082848,0.24648071452975273,308,0.15,0.8753666877746582,0.017788201570510864,687.47,23.08742256
79,157,1029,161792,0.008567149,0.0004840256,-0.009024110244354233,0.18505859375,-5.125681817531586,0.1394145479425788,312,0.15,0.9515940546989441,-0.012303724884986877,688.19,23.14628393
80,159,1028,163840,0.0071290554,0.0004838208,-0.005717207764973864,0.1329345703125,-5.084258109331131,0.18014999898150563,316,0.15,0.9214867949485779,0.02642875164747238,689.22,23.228815909999998
81,161,1029,165888,0.013075579,0.000483616,-0.00792634580284357,0.1827392578125,-5.145390838384628,0.1672069241758436,320,0.15,0.9385618567466736,0.023837685585021973,686.73,23.231190209999994
82,163,1029,167936,0.009520706,0.0004834112,-0.01088135878671892,0.1778564453125,-5.094288229942322,0.21160385943949223,324,0.15,0.893017590045929,0.006054900586605072,687.26,23.214835419999996
83,165,1029,169984,0.011089078,0.0004832064,-0.003524167404975742,0.18212890625,-5.064568072557449,0.18684350233525038,328,0.15,0.8914756774902344,0.02191091701388359,689.88,23.32352191
84,167,1029,172032,0.009509023,0.0004830016,-0.007500927385990508,0.1676025390625,-5.0975518971681595,0.14102713018655777,332,0.15,0.9433456659317017,-0.005493350327014923,692.37,23.5762016
85,168,1030,174080,0.008716751,0.0004827968,-0.009631179884308949,0.1689453125,-5.00524328649044,0.12994768959470093,336,0.15,0.9572327136993408,-0.014728683978319168,694.38,23.746847139999996
86,170,1030,176128,0.00637626,0.00048259200000000006,-0.005518510763067752,0.1348876953125,-5.064443156123161,0.1765719021204859,340,0.15,0.9228105545043945,0.028737209737300873,692.91,23.74507582
87,172,1030,178176,0.010887848,0.00048238720000000004,-0.009006263338960707,0.16552734375,-5.027288869023323,0.19091499084606767,344,0.15,0.9207301139831543,0.022860899567604065,690.47,23.730349179999994
88,174,1030,180224,0.008140558,0.0004821824,-0.008947042573709041,0.13427734375,-5.099434867501259,0.23604680318385363,348,0.15,0.8763532042503357,0.05679640918970108,691.29,23.92688174
89,176,1030,182272,0.00799822,0.0004819776,-0.008749768370762467,0.179443359375,-5.0729159116744995,0.15735634928569198,352,0.15,0.9392070770263672,-0.0031173452734947205,693.02,24.0719446
90,178,1030,184320,0.00981252,0.0004817728,-0.006062224390916526,0.1925048828125,-5.017594322562218,0.13114282418973744,356,0.15,0.9671356678009033,-0.017091259360313416,692.65,24.21997625
91,180,1030,186368,0.008954177,0.000481568,-0.008900110129616223,0.1728515625,-5.050581157207489,0.14207240426912904,360,0.15,0.9370990991592407,-0.010702241212129593,692.92,24.183468060000006
92,182,1030,188416,0.01121672,0.0004813632,-0.0059914516168646514,0.1533203125,-5.0454284101724625,0.16655229777097702,364,0.15,0.9044795036315918,0.016878753900527954,690.83,24.13512083
93,184,1029,190464,0.008836908,0.0004811584,-0.009506389644229785,0.15576171875,-5.114665105938911,0.15993770421482623,368,0.15,0.9212455153465271,0.009423255920410156,694.77,24.333577270000006
94,187,1029,192512,0.007565141,0.0004809536,-0.006956230703508481,0.1663818359375,-5.110874310135841,0.12166283186525106,372,0.15,0.953717827796936,-0.021703146398067474,694.86,24.48921251
95,188,1029,194560,0.0077505508,0.0004807488,-0.0088257454772247,0.1348876953125,-4.984304264187813,0.177565127145499,376,0.15,0.9491558074951172,0.02285856008529663,696.56,24.523111829999998
96,190,1029,196608,0.011383682,0.00048054399999999996,-0.008876544772647321,0.1536865234375,-4.95662434399128,0.14478735974989831,380,0.15,0.9565748572349548,0.008880317211151123,700.52,24.6465631
97,192,1029,198656,0.011166479,0.00048033920000000005,-0.009550591290462762,0.169189453125,-5.036120817065239,0.16960496082901955,384,0.15,0.9415648579597473,0.026321586221456528,699.48,24.651842760000005
98,194,1029,200704,0.006744909,0.00048013440000000004,-0.007645419565960765,0.131103515625,-5.05056220293045,0.14147596969269216,388,0.15,0.9278366565704346,-0.004521757364273071,697.77,24.64359868
99,196,1029,202752,0.009563231,0.0004799296,-0.0056902714422903955,0.17626953125,-5.022308602929115,0.17926230188459158,392,0.15,0.9321357607841492,-0.00318136066198349,694.14,24.76042027
100,198,1029,204800,0.009759618,0.0004797248,-0.009762747082277201,0.182861328125,-4.985248997807503,0.13588798232376575,396,0.15,0.9603808522224426,-0.0011309608817100525,695.07,25.01058274
101,200,1029,206848,0.0126237385,0.00047952,-0.002140685508493334,0.2083740234375,-4.917375281453133,0.17384190950542688,400,0.15,0.9482454061508179,0.017251376062631607,690.91,24.928492279999997
102,202,1029,208896,0.00800969,0.00047931520000000003,-0.008923140965634957,0.117431640625,-4.934634178876877,0.1879258514381945,404,0.15,0.9213453531265259,0.013432271778583527,686.92,24.958445929999993
103,204,1029,210944,0.011041123,0.0004791104,-0.008353022014489397,0.1619873046875,-5.005035445094109,0.2062703208066523,408,0.15,0.9003602266311646,-0.0003759413957595825,686.51,24.97655587
104,206,1029,212992,0.011592417,0.0004789056,-0.004136328934691846,0.1927490234375,-4.9480795711278915,0.1491079709958285,412,0.15,0.9439971446990967,0.025664087384939194,682.63,25.04899171
105,208,1029,215040,0.008604969,0.0004787008,-0.007447345371474512,0.1627197265625,-4.98800402879715,0.1456080514471978,416,0.15,0.9581246972084045,-0.00820157676935196,682.45,25.147866040000004
106,210,1029,217088,0.0071023977,0.00047849599999999997,-0.007680676302697975,0.1351318359375,-4.859295383095741,0.1926119881682098,420,0.15,0.9510661363601685,0.02005782350897789,678.64,25.025426849999995
107,212,1029,219136,0.008488347,0.00047829120000000006,-0.007332889857934788,0.126953125,-4.875339463353157,0.22610304970294237,424,0.15,0.9158623814582825,0.030920572578907013,676.34,25.02713888
