Evaluation report
Date 2025-08-02 15:02:24.170199

checkpoint_50000: error
checkpoint_100000: error
checkpoint_150000: error
checkpoint_200000: error
checkpoint_250000: error
checkpoint_300000: error
checkpoint_350000: error
checkpoint_400000: error
checkpoint_450000: error
checkpoint_500000: error
checkpoint_550000: error
checkpoint_600000: error
checkpoint_650000: error
checkpoint_700000: error
checkpoint_750000: error
checkpoint_850000: error
checkpoint_900000: error
checkpoint_950000: error
checkpoint_1000000: error
checkpoint_1050000: error
checkpoint_1100000: error
checkpoint_1150000: error
checkpoint_1200000: error
checkpoint_1250000: error
checkpoint_1300000: error
checkpoint_1400000: error
checkpoint_1450000: error
checkpoint_1500000: error
checkpoint_1550000: error
checkpoint_1600000: error
checkpoint_1650000: error
checkpoint_1700000: error
checkpoint_1750000: error
checkpoint_1800000: error
checkpoint_1950000: error
checkpoint_2000000: error
checkpoint_2050000: error
checkpoint_2100000: error
checkpoint_2150000: error
checkpoint_2200000: error
checkpoint_2250000: error
checkpoint_2300000: error
checkpoint_2350000: error
checkpoint_2400000: error
checkpoint_2450000: error
checkpoint_2500000: error
checkpoint_2550000: error
checkpoint_2600000: error
checkpoint_2650000: error
checkpoint_2700000: error
checkpoint_2750000: error
checkpoint_2800000: error
checkpoint_3000000: error
checkpoint_3050000: error
checkpoint_3100000: error
checkpoint_3150000: error
checkpoint_3200000: error
checkpoint_3250000: error
checkpoint_3300000: error
checkpoint_3350000: error
checkpoint_3400000: error
checkpoint_3450000: error
checkpoint_3600000: error
checkpoint_3650000: error
checkpoint_3700000: error
checkpoint_3750000: error
checkpoint_3800000: error
checkpoint_3950000: error
checkpoint_4050000: error
checkpoint_4150000: error
checkpoint_4200000: error
checkpoint_4250000: error
checkpoint_4300000: error
checkpoint_4350000: error
checkpoint_4400000: error
checkpoint_4500000: error
checkpoint_4650000: error
checkpoint_4700000: error
checkpoint_4750000: error
checkpoint_4800000: error
checkpoint_4850000: error
checkpoint_4950000: error
checkpoint_5000000: error
