time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/value_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,631,3,2048,,,,,,,,,,,,
2,643,6,4096,0.0002499488,0.1556995497085154,0.06273627281188965,0.00031243887,0.0,0.15,4,-5.545067995786667,-0.000962118137977086,0.005613788962364197,,
3,677,9,6144,0.0002498976,0.18573035346344113,0.0554424524307251,0.0021073911,0.004150390625,0.15,8,-5.543015822768211,-0.001952251433976926,0.008245088160037994,,
4,729,11,8192,0.0002498464,0.2173976143822074,-0.04339897632598877,0.004171501,0.0345458984375,0.15,12,-5.530155852437019,-0.0019893002609023824,0.023983493447303772,510.0,4.662827
5,755,13,10240,0.0002497952,0.20681309420615435,0.2177613377571106,0.003869444,0.0311279296875,0.15,16,-5.527639329433441,-0.003042830212507397,0.03150154650211334,582.1428571428571,9.349914285714286
6,770,15,12288,0.000249744,0.21063672471791506,0.46360528469085693,0.003881913,0.03466796875,0.15,20,-5.517017155885696,-0.002502554954844527,0.06685741990804672,649.6666666666666,11.9311584
7,792,18,14336,0.0002496928,0.17725924029946327,0.4951024651527405,0.001177242,0.0,0.15,24,-5.520891040563583,-0.0010428597161080688,0.0007586739957332611,658.8125,12.19389275
8,811,20,16384,0.0002496416,0.23932404210790992,0.2928740978240967,0.0014505307,0.0,0.15,28,-5.519550547003746,-0.0006904162000864744,0.03625848889350891,658.8125,12.19389275
9,826,22,18432,0.0002495904,0.1986405118368566,0.5408936142921448,0.0016922154,0.0018310546875,0.15,32,-5.521032780408859,-0.0013343499304028228,0.027296282351017,658.8125,12.19389275
10,837,24,20480,0.00024953919999999997,0.22993383649736643,0.5512863397598267,0.0038146805,0.021728515625,0.15,36,-5.50219489634037,-0.0020971957419533283,0.03244852274656296,657.5,12.2833191
11,847,26,22528,0.00024948799999999997,0.25610945047810674,0.6745365262031555,0.0018398087,0.0030517578125,0.15,40,-5.5047465562820435,-0.0008497612288920209,0.026409436017274857,658.5454545454545,12.454242545454546
12,853,28,24576,0.0002494368,0.2341528097167611,0.6723246574401855,0.002607002,0.0084228515625,0.15,44,-5.503331750631332,-0.0025280694680986926,0.032076556235551834,690.5172413793103,13.89273279310345
13,859,30,26624,0.0002493856,0.23967551533132792,0.6723475456237793,0.002170995,0.0040283203125,0.15,48,-5.493116647005081,-0.0015569300594506785,0.04185473918914795,709.125,14.51287403125
14,865,33,28672,0.0002493344,0.24159357324242592,0.5594995021820068,0.0048158905,0.05224609375,0.15,52,-5.50693191587925,-0.004946988497977145,0.052996955811977386,709.125,14.51287403125
15,867,35,30720,0.0002492832,0.158833033638075,0.6612191200256348,0.0038815744,0.0220947265625,0.15,56,-5.501222163438797,-0.0028897867305204272,-0.0032411403954029083,709.125,14.51287403125
16,871,37,32768,0.000249232,0.17724069068208337,0.43315601348876953,0.004276127,0.03369140625,0.15,60,-5.50663435459137,-0.0020945801225025207,0.0174274742603302,713.4117647058823,14.733415647058823
17,873,39,34816,0.0002491808,0.15084937447682023,0.5807055234909058,0.0052671456,0.0777587890625,0.15,64,-5.506000980734825,-0.005173450452275574,0.017096254974603653,721.6111111111111,15.05142852777778
18,872,42,36864,0.0002491296,0.19497266551479697,0.6150045394897461,0.0027105808,0.011474609375,0.15,68,-5.513311684131622,-0.001845497259637341,0.030344441533088684,728.65,15.3324838
19,872,44,38912,0.0002490784,0.2152524651028216,0.7003088593482971,0.0039340416,0.045654296875,0.15,72,-5.498229414224625,-0.003390794459846802,0.018752321600914,754.0,15.529112826086955
20,873,46,40960,0.0002490272,0.20196499256417155,0.7829360961914062,0.0008222618,0.0001220703125,0.15,76,-5.499393060803413,-0.0005237056757323444,0.025387272238731384,759.063829787234,15.703414255319148
21,874,49,43008,0.000248976,0.19859689194709063,0.7058131694793701,0.0036087625,0.0567626953125,0.15,80,-5.461859926581383,-0.0039220153412315995,0.005407072603702545,758.5510204081633,15.590358530612244
22,873,51,45056,0.00024892480000000003,0.1786266192793846,0.7445343732833862,0.0040159486,0.02978515625,0.15,84,-5.46337017416954,-0.0027790665917564183,0.020035937428474426,748.7884615384615,15.325853250000002
23,874,53,47104,0.00024887360000000003,0.2069875504821539,0.7448464035987854,0.0027764877,0.010009765625,0.15,88,-5.4739779233932495,-0.0019091360736638308,0.03509093075990677,747.0925925925926,15.325081407407408
24,875,56,49152,0.0002488224,0.2608066573739052,0.5465458035469055,0.0050697504,0.0675048828125,0.15,92,-5.446663901209831,-0.004072034251294099,0.06817516684532166,749.8571428571429,15.411406249999999
25,875,58,51200,0.0002487712,0.21661583706736565,0.7025015354156494,0.0029211575,0.0367431640625,0.15,96,-5.4486454129219055,-0.0023082004772732034,0.007921300828456879,749.2931034482758,15.450933017241379
26,874,60,53248,0.00024872,0.25445154774934053,0.6078729033470154,0.0029764087,0.0201416015625,0.15,100,-5.424550279974937,-0.002678353775991127,0.06334608793258667,750.1967213114754,15.563604360655738
27,873,63,55296,0.0002486688,0.20344995614141226,0.6781514883041382,0.0049341596,0.04248046875,0.15,104,-5.43093940615654,-0.004624847118975595,0.019384168088436127,762.8636363636364,16.14644227272727
28,872,65,57344,0.0002486176,0.21932100364938378,0.712756872177124,0.0037880696,0.04150390625,0.15,108,-5.41711300611496,-0.003344559358083643,0.06152549386024475,755.1739130434783,15.886442202898548
29,874,67,59392,0.0002485664,0.23106746142730117,0.6739252805709839,0.0037207552,0.0804443359375,0.15,112,-5.432759553194046,-0.006035765734850429,0.05312788486480713,756.6857142857143,15.956426357142854
30,876,70,61440,0.0002485152,0.15364727447740734,0.7734466791152954,0.0030774963,0.04833984375,0.15,116,-5.401298090815544,-0.004099515208508819,0.0006689056754112244,754.8378378378378,15.971255310810811
31,878,72,63488,0.000248464,0.20041863759979606,0.7731738686561584,0.0024359936,0.042236328125,0.15,120,-5.382003128528595,-0.0031904047209536657,0.01401972770690918,752.9605263157895,15.930321631578947
32,878,74,65536,0.0002484128,0.2143546692095697,0.6809812784194946,0.002980301,0.0325927734375,0.15,124,-5.421360552310944,-0.002230856756796129,0.0416535884141922,751.8625,15.965455699999998
33,880,76,67584,0.0002483616,0.2549394788220525,0.7103354930877686,0.003885332,0.0648193359375,0.15,128,-5.389521673321724,-0.00444842447177507,0.03454077988862991,751.3086419753087,15.98403824691358
34,881,78,69632,0.0002483104,0.17025450011715293,0.8291585445404053,0.0048351847,0.0599365234375,0.15,132,-5.3618375062942505,-0.0044251197832636535,0.03411117196083069,749.7790697674419,16.15153953488372
35,882,81,71680,0.00024825920000000004,0.2081906497478485,0.8207929134368896,0.002853403,0.055908203125,0.15,136,-5.391977906227112,-0.004344581044279039,0.0507381409406662,749.0114942528736,16.209407758620692
36,883,83,73728,0.00024820800000000003,0.1708027790300548,0.8296788930892944,0.0034759236,0.0745849609375,0.15,140,-5.3869868367910385,-0.0052188559784553945,0.0078096650540828705,749.195652173913,16.31603531521739
37,884,85,75776,0.00024815680000000003,0.1627581543289125,0.8892912268638611,0.0055732965,0.086669921875,0.15,144,-5.364281013607979,-0.004050096729770303,0.0025664158165454865,749.195652173913,16.31603531521739
38,882,88,77824,0.0002481056,0.15825404739007354,0.8324068188667297,0.004727778,0.0791015625,0.15,148,-5.381968185305595,-0.0037552305147983134,0.03449985012412071,749.8947368421053,16.479559663157893
39,883,90,79872,0.0002480544,0.22686417680233717,0.7950820326805115,0.004271201,0.0699462890625,0.15,152,-5.395404890179634,-0.003090956946834922,0.02832847833633423,749.6530612244898,16.578017948979593
40,880,93,81920,0.0002480032,0.17744364403188229,0.8613327145576477,0.0015069274,0.0440673828125,0.15,156,-5.404431015253067,-0.000841016459162347,0.024999964982271194,753.98,16.899128049999998
41,876,95,83968,0.000247952,0.24336018273606896,0.7772455215454102,0.0025519156,0.0328369140625,0.15,160,-5.36824931204319,-0.002597897546365857,0.03017737716436386,757.39,17.114558119999998
42,871,98,86016,0.0002479008,0.15698927314952016,0.856964647769928,0.004454324,0.07373046875,0.15,164,-5.376451373100281,-0.005139487999258563,0.009641636162996292,759.18,17.220196989999998
43,868,101,88064,0.0002478496,0.20042915223166347,0.7922821640968323,0.0058166194,0.088134765625,0.15,168,-5.383297502994537,-0.004939379577990621,0.038484688848257065,765.33,17.745780740000004
44,870,103,90112,0.0002477984,0.2041650041937828,0.8525557518005371,0.0040181326,0.066650390625,0.15,172,-5.355834320187569,-0.0014628379285568371,0.025899965316057205,766.14,17.98441507
45,871,105,92160,0.0002477472,0.22781043220311403,0.7753646373748779,0.0050765993,0.0830078125,0.15,176,-5.365745276212692,-0.001744191482430324,0.025856301188468933,765.56,18.157423839999996
46,872,107,94208,0.000247696,0.2079960540868342,0.8450309038162231,0.0018545937,0.039794921875,0.15,180,-5.334599316120148,-0.0021402229758678004,0.025002140551805496,765.19,18.314377999999998
47,874,110,96256,0.0002476448,0.24315119441598654,0.7941886782646179,0.0060718707,0.0867919921875,0.15,184,-5.3269190937280655,-0.002361791572184302,0.027202554047107697,767.83,18.54605912
48,875,112,98304,0.0002475936,0.15264332527294755,0.8860911726951599,0.0042937472,0.0489501953125,0.15,188,-5.351316809654236,-0.0020874175534117967,0.004825197160243988,772.03,18.794989610000002
49,876,114,100352,0.0002475424,0.180911710485816,0.8830460906028748,0.005422409,0.0908203125,0.15,192,-5.33590292930603,-0.005428995384136215,0.033756695687770844,768.54,18.84243176
50,876,116,102400,0.0002474912,0.21873502107337117,0.8600034713745117,0.0030120127,0.0628662109375,0.15,196,-5.324181541800499,-0.0021713417081627995,0.033747389912605286,763.74,18.86589772
51,878,118,104448,0.00024744,0.16445191646926105,0.8907680511474609,0.0016308489,0.0140380859375,0.15,200,-5.351843878626823,-0.002278555533848703,0.022030137479305267,763.74,18.86589772
52,879,121,106496,0.00024738879999999997,0.1719252043403685,0.8421756625175476,0.0062261783,0.09716796875,0.15,204,-5.346654295921326,-0.0059715423558373,0.019606053829193115,759.33,18.833743620000003
53,879,123,108544,0.0002473376,0.2521173213608563,0.80921471118927,0.0055380473,0.0496826171875,0.15,208,-5.332705140113831,-0.003948058525566012,0.049392685294151306,759.96,19.21521837
54,881,125,110592,0.0002472864,0.23104405356571078,0.8484411239624023,0.0059567783,0.1212158203125,0.15,212,-5.329903990030289,-0.003198118880391121,0.05726858973503113,746.09,19.13942859
55,882,127,112640,0.0002472352,0.20751257007941604,0.8607144355773926,0.003246637,0.072021484375,0.15,216,-5.316488444805145,-0.0033207709493581206,0.0158747136592865,745.34,19.248039710000004
56,882,129,114688,0.000247184,0.20255615515634418,0.8623101115226746,0.0040142136,0.106201171875,0.15,220,-5.30330128967762,-0.004275437648175284,0.016775988042354584,738.3,19.38414075
57,883,132,116736,0.0002471328,0.24377465015277267,0.8070979118347168,0.00576754,0.09765625,0.15,224,-5.2707739174366,-0.003890989057254046,0.056328609585762024,732.52,19.42558141
58,884,134,118784,0.0002470816,0.30157582834362984,0.789302408695221,0.003902501,0.04931640625,0.15,228,-5.318819105625153,-0.0025895546714309603,0.06258030235767365,732.12,19.706712429999996
