time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2048,2,1,717,,,,,,,,,,,,
4096,5,2,815,0.0002498976,0.14159766770899296,-5.543526291847229,-0.004052825621329248,4,0.0044436017,0.0001458674669265747,0.15,0.054562151432037354,0.0352783203125,,
6144,6,3,890,0.0002497952,0.21338870655745268,-5.53715056180954,-0.0018494202813599259,8,0.002311909,0.048016466200351715,0.15,0.11678922176361084,0.004638671875,,
8192,8,4,934,0.0002496928,0.24086060794070363,-5.524498462677002,-0.0034966537059517577,12,0.0052369093,0.05190594494342804,0.15,0.08760476112365723,0.04541015625,,
10240,10,5,936,0.0002495904,0.21330755203962326,-5.525360271334648,-0.0016124445683090016,16,0.0030541793,0.0288318432867527,0.15,0.23021018505096436,0.0133056640625,592.3333333333334,12.017260666666667
12288,12,6,949,0.00024948799999999997,0.22756279492750764,-5.523267984390259,-0.0013754841056652367,20,0.001856788,0.030252043157815933,0.15,0.2366389036178589,0.0010986328125,671.4285714285714,13.553300714285715
14336,14,7,962,0.0002493856,0.2512493715621531,-5.511576682329178,-0.0012120284955017269,24,0.0020902392,0.05931130424141884,0.15,0.3245660662651062,0.0025634765625,763.7333333333333,16.712660666666668
16384,16,8,978,0.0002492832,0.24159608269110322,-5.516813680529594,-0.0014067048687138595,28,0.0027349163,0.04304046183824539,0.15,0.5027293562889099,0.0115966796875,776.375,17.235072062500002
18432,18,9,984,0.0002491808,0.18187655322253704,-5.5244356989860535,-0.0009069305233424529,32,0.0010311363,0.02596261352300644,0.15,0.6024888753890991,0.0,776.375,17.235072062500002
20480,20,10,994,0.0002490784,0.21494096657261252,-5.5073559284210205,-0.0026122992276214063,36,0.0045835148,0.05175044387578964,0.15,0.642254114151001,0.0333251953125,776.375,17.235072062500002
22528,22,11,1001,0.000248976,0.20358492527157068,-5.509158670902252,-0.0027063828747486696,40,0.0020556524,0.025322921574115753,0.15,0.6378768682479858,0.0323486328125,760.4705882352941,16.78050323529412
24576,24,12,1003,0.00024887360000000003,0.18131834920495749,-5.50762802362442,-0.002545984723838046,44,0.0023910566,0.03581385314464569,0.15,0.6734572649002075,0.0040283203125,771.0833333333334,17.29353825
26624,26,13,1007,0.0002487712,0.27923166705295444,-5.500935778021812,-0.0008054361678659916,48,0.0038050532,0.0504237599670887,0.15,0.49635088443756104,0.0247802734375,768.75,17.26174767857143
28672,28,14,1006,0.0002486688,0.20303556323051453,-5.494302481412888,-0.0023322587949223816,52,0.0014479888,0.042630188167095184,0.15,0.6421210765838623,0.03662109375,779.1290322580645,17.602598838709678
30720,30,15,1012,0.0002485664,0.2087812628597021,-5.4877524971961975,-0.0029466084961313754,56,0.0032902625,0.0378926545381546,0.15,0.6971659660339355,0.037109375,781.0,17.64838271875
32768,32,16,1016,0.000248464,0.19306773087009788,-5.4994024485349655,-0.007085925040883012,60,0.007232345,0.04804499074816704,0.15,0.7043929100036621,0.107666015625,781.0,17.64838271875
34816,34,17,1016,0.0002483616,0.22213793126866221,-5.50242318212986,-0.001149937801528722,64,0.0018163486,0.04232126101851463,0.15,0.5356972813606262,0.0047607421875,777.7575757575758,17.54367293939394
36864,36,18,1020,0.00024825920000000004,0.16482226154766977,-5.503564551472664,-0.002879832638427615,68,0.003843567,0.018598642200231552,0.15,0.6559428572654724,0.0216064453125,780.6857142857143,17.739682657142858
38912,38,19,1023,0.00024815680000000003,0.15588906547054648,-5.507493883371353,-0.0035952120379079133,72,0.0022690683,0.013108998537063599,0.15,0.6863198280334473,0.041015625,781.3611111111111,17.739437916666667
40960,40,20,1020,0.0002480544,0.2039132216013968,-5.49995656311512,-0.002977640149765648,76,0.0026530395,0.04845274239778519,0.15,0.6647557020187378,0.0189208984375,812.3409090909091,18.55013181818182
43008,42,21,1021,0.000247952,0.17516778409481049,-5.49834668636322,-0.003253384929848835,80,0.0032259987,0.0024656206369400024,0.15,0.7924777865409851,0.039794921875,818.9574468085107,18.510677382978724
45056,44,22,1023,0.0002478496,0.2553099556826055,-5.4830498695373535,-0.0026624354504747316,84,0.0029424622,0.07288926839828491,0.15,0.6814557313919067,0.0179443359375,816.2448979591836,18.447693591836735
