time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,632,3,2048,,,,,,,,,,,,
2,670,6,4096,-0.0022211735922610387,0.15,0.3164892371278256,4,0.004317914,0.0362548828125,0.10469293594360352,0.0002498976,0.0020577535033226013,-5.5434287786483765,,
3,728,8,6144,-0.0017055024509318173,0.15,0.16347021190449595,8,0.0032077124,0.0125732421875,0.13283264636993408,0.0002497952,0.017390552908182144,-5.539968624711037,,
4,770,10,8192,-0.0016989193100016564,0.15,0.1844878033734858,12,0.0042126235,0.0220947265625,0.08523249626159668,0.0002496928,0.023639801889657974,-5.528044760227203,8.678686,505.0
5,803,12,10240,-0.0013608327863039449,0.15,0.21206097397953272,16,0.001939076,0.002197265625,0.2639021873474121,0.0002495904,0.015259109437465668,-5.520202085375786,9.916933375000001,576.625
6,832,14,12288,-0.0038650613132631406,0.15,0.1899985633790493,20,0.0038965098,0.0528564453125,0.4452691078186035,0.00024948799999999997,0.01875821128487587,-5.4931031465530396,11.832995923076924,633.6153846153846
7,852,16,14336,-0.002659840669366531,0.15,0.17732003470882773,24,0.00518304,0.0423583984375,0.5475592017173767,0.0002493856,0.023202363401651382,-5.488081127405167,12.140382714285716,644.0714285714286
8,870,18,16384,-0.0016070031269919127,0.15,0.1913556451909244,28,0.003410133,0.025390625,0.5862912535667419,0.0002492832,0.027436833828687668,-5.496131539344788,12.67047975,678.625
9,883,20,18432,-0.0011001169186783955,0.15,0.1513336724601686,32,0.0019055001,0.0181884765625,0.6398440599441528,0.0002491808,0.008620508015155792,-5.508482500910759,12.67047975,678.625
10,894,22,20480,-0.0022973186569288373,0.15,0.13795293495059013,36,0.0037931278,0.0303955078125,0.6238069534301758,0.0002490784,0.018699362874031067,-5.5053690969944,12.728544333333334,676.2777777777778
11,901,25,22528,-0.0031723441497888416,0.15,0.1639568810351193,40,0.0048038885,0.0633544921875,0.40195411443710327,0.000248976,0.00548485666513443,-5.493369042873383,12.728544333333334,676.2777777777778
12,898,27,24576,-0.002453728491673246,0.15,0.1838609864935279,44,0.003437853,0.02099609375,0.4206225275993347,0.00024887360000000003,0.031691692769527435,-5.487580671906471,13.978543954545454,710.0454545454545
13,899,29,26624,-0.0035915892076445743,0.15,0.16333926282823086,48,0.0035889754,0.0322265625,0.5928483009338379,0.0002487712,-0.008379887789487839,-5.513490170240402,15.584985419354838,761.4516129032259
14,905,31,28672,-0.0018679700588108972,0.15,0.14475601050071418,52,0.001185878,0.0296630859375,0.7120752334594727,0.0002486688,-0.003719918429851532,-5.5195479691028595,15.5718348125,764.9375
15,913,33,30720,-0.0013679976400453597,0.15,0.15877866419032216,56,0.0013701594,0.002197265625,0.6825375556945801,0.0002485664,0.005682565271854401,-5.5198045670986176,15.51320381818182,757.7575757575758
16,910,35,32768,-0.0024334181216545403,0.15,0.13686297927051783,60,0.004203018,0.0333251953125,0.7189062833786011,0.000248464,-0.008508201688528061,-5.50408898293972,15.34432882352941,760.5294117647059
17,912,38,34816,-0.0034107175015378743,0.15,0.15621459670364857,64,0.0021799495,0.0230712890625,0.6650856733322144,0.0002483616,0.02656305953860283,-5.529229283332825,14.619900384615384,743.1794871794872
18,912,40,36864,-0.0040456260612700135,0.15,0.1276722678449005,68,0.002927552,0.0523681640625,0.7624659538269043,0.00024825920000000004,-0.008181571960449219,-5.523947298526764,14.655780523809526,740.3333333333334
19,914,42,38912,-0.001992229575989768,0.15,0.1525669489055872,72,0.0019573201,0.01904296875,0.7307876944541931,0.00024815680000000003,-0.014006387442350388,-5.516878813505173,14.670079085106387,737.7446808510638
20,918,44,40960,-0.0036283660592744127,0.15,0.13114625215530396,76,0.002403514,0.0352783203125,0.7874277234077454,0.0002480544,-0.014445796608924866,-5.4992629289627075,14.5965388125,737.0416666666666
21,920,46,43008,-0.004594139187247492,0.15,0.15487267798744142,80,0.002423498,0.0313720703125,0.7308316230773926,0.000247952,-0.005513235926628113,-5.505691170692444,14.623338102040817,742.0408163265306
22,924,48,45056,-0.004143589816521853,0.15,0.1471369683276862,84,0.0032173237,0.0302734375,0.7726797461509705,0.0002478496,-0.007978811860084534,-5.486984595656395,14.537515780000001,738.98
23,926,50,47104,-0.0059965180698782206,0.15,0.16811819793656468,88,0.003956099,0.0633544921875,0.6632900238037109,0.0002477472,-0.007729090750217438,-5.500462576746941,14.602080192307692,738.3461538461538
24,929,52,49152,-0.006113232753705233,0.15,0.14907041378319263,92,0.0047853603,0.0670166015625,0.6269129514694214,0.0002476448,-0.027076125144958496,-5.4910086542367935,14.877829666666669,745.6296296296297
25,930,55,51200,-0.004106150445295498,0.15,0.2266905326396227,96,0.0029809237,0.035400390625,0.32159000635147095,0.0002475424,0.02242518961429596,-5.495957151055336,15.687732033333333,760.2666666666667
26,931,57,53248,-0.00322707490704488,0.15,0.22260466776788235,100,0.0025483086,0.0345458984375,0.5150306224822998,0.00024744,0.0317634716629982,-5.47998683154583,15.687732033333333,760.2666666666667
27,933,59,55296,-0.006427628570236266,0.15,0.15406019636429846,104,0.004709034,0.06103515625,0.514728307723999,0.0002473376,-0.0018535256385803223,-5.478351831436157,16.22159053968254,769.4285714285714
28,934,61,57344,-0.006145062783616595,0.15,0.2138556125573814,108,0.004239951,0.075439453125,0.6672396659851074,0.0002472352,0.013913191854953766,-5.465760871767998,16.668542876923077,779.0
29,935,63,59392,-0.006035785292624496,0.15,0.1870416938327253,112,0.004771778,0.0626220703125,0.7182263135910034,0.0002471328,0.016959473490715027,-5.462408497929573,16.705872411764705,773.5147058823529
30,936,65,61440,-0.005706299532903358,0.15,0.2309048823080957,116,0.005935424,0.0982666015625,0.6658673286437988,0.0002470304,0.033848751336336136,-5.457134649157524,17.076319625,774.8888888888889
31,937,67,63488,-0.0005574527094722725,0.15,0.17858511302620173,120,0.0067758705,0.14404296875,0.7439806461334229,0.000246928,0.002962149679660797,-5.4560128301382065,17.19840889041096,775.7123287671233
32,939,69,65536,-0.007292379304999486,0.15,0.18826495856046677,124,0.0056485296,0.0877685546875,0.7345932722091675,0.00024682560000000004,0.0033225342631340027,-5.471958130598068,17.306973283783783,776.3513513513514
33,938,71,67584,-0.007662071846425533,0.15,0.17342745838686824,128,0.0052510556,0.07568359375,0.7939270734786987,0.00024672320000000003,0.011166170239448547,-5.461596563458443,17.936993935064937,785.077922077922
34,939,74,69632,-0.00418837764300406,0.15,0.2508344710804522,132,0.004267362,0.0670166015625,0.7279595136642456,0.0002466208,0.02280188351869583,-5.450648531317711,18.22606654878049,782.2560975609756
35,939,76,71680,-0.0038617373211309314,0.15,0.15771944914013147,136,0.005693361,0.1036376953125,0.8232682943344116,0.0002465184,-0.007721886038780212,-5.439652889966965,18.414683755813954,781.3139534883721
36,939,78,73728,-0.002366069151321426,0.15,0.14373571542091668,140,0.004912775,0.1053466796875,0.8518008589744568,0.000246416,-0.010596312582492828,-5.444342851638794,18.408371540229886,781.0114942528736
37,939,80,75776,-0.006973319235839881,0.15,0.1707845397759229,144,0.0047866157,0.0831298828125,0.8448251485824585,0.0002463136,0.00026880577206611633,-5.44228795170784,18.42322993181818,781.0681818181819
38,938,82,77824,-0.009019438701216131,0.15,0.1659013107419014,148,0.006037466,0.0986328125,0.8450039625167847,0.0002462112,0.0009213164448738098,-5.43990370631218,18.67378957142857,782.1868131868132
39,936,85,79872,-0.0055694781767670065,0.15,0.16949922475032508,152,0.0035732966,0.05224609375,0.8698590993881226,0.0002461088,0.0023225247859954834,-5.43341788649559,18.605817000000002,773.3125
40,935,87,81920,-0.008698577294126153,0.15,0.17276595439761877,156,0.006639716,0.1263427734375,0.8986168503761292,0.00024600640000000003,-0.005461752414703369,-5.427291721105576,18.70443281,770.87
41,934,89,83968,-0.006065036141080782,0.15,0.15470521920360625,160,0.005947845,0.120849609375,0.9244039058685303,0.000245904,0.0012225285172462463,-5.426178440451622,19.010311509999998,775.51
42,934,92,86016,-0.006980956823099405,0.15,0.17503714468330145,164,0.0057869493,0.090087890625,0.892644464969635,0.0002458016,0.0069550275802612305,-5.429200306534767,19.194015529999998,778.62
43,933,94,88064,-0.0067831575142918155,0.15,0.15483622159808874,168,0.0067729796,0.0972900390625,0.8920697569847107,0.0002456992,0.01823148876428604,-5.398087322711945,19.603382279999998,780.55
44,932,96,90112,-0.007820502592949197,0.15,0.17427877010777593,172,0.00537867,0.094482421875,0.8698928356170654,0.0002455968,0.011368103325366974,-5.405023008584976,19.809780779999997,777.05
45,933,98,92160,0.00172423328331206,0.15,0.13859406672418118,176,0.01117447,0.205322265625,0.9405388832092285,0.0002454944,-0.016040779650211334,-5.3684012144804,19.943410329999995,772.83
46,932,100,94208,-0.008295993611682206,0.15,0.1424678019247949,180,0.0061542653,0.109130859375,0.9228594899177551,0.000245392,-0.021768882870674133,-5.389963656663895,20.03215432,771.12
47,933,103,96256,-0.005827599437907338,0.15,0.1412068740464747,184,0.0052557997,0.12353515625,0.8944866061210632,0.0002452896,-0.011675067245960236,-5.4051360338926315,20.143598850000004,766.64
48,933,105,98304,-0.0080180606310023,0.15,0.16409345204010606,188,0.007616424,0.1151123046875,0.9132616519927979,0.0002451872,-0.006189785897731781,-5.382026821374893,20.14417995,763.73
49,933,107,100352,-0.008538535214029253,0.15,0.14521805476397276,192,0.006955365,0.12353515625,0.9009652733802795,0.0002450848,-0.01703588292002678,-5.391422167420387,20.080156990000003,753.52
50,935,109,102400,-0.006025073816999793,0.15,0.16179006407037377,196,0.007784692,0.1416015625,0.9040673971176147,0.0002449824,0.001651562750339508,-5.372440278530121,20.18433099,747.99
51,935,111,104448,-0.007928584149340168,0.15,0.16091982391662896,200,0.007844197,0.10498046875,0.9018872380256653,0.00024488,0.0009979009628295898,-5.37440325319767,20.41743526,746.13
52,936,113,106496,-0.00825643572898116,0.15,0.128041215473786,204,0.005823305,0.1243896484375,0.9158434867858887,0.0002447776,-0.015860378742218018,-5.36611644923687,20.41743526,746.13
53,935,115,108544,-0.0095408697379753,0.15,0.18286870000883937,208,0.008370271,0.1204833984375,0.8273108005523682,0.00024467520000000004,0.0036514699459075928,-5.353523954749107,20.827778350000003,748.06
54,936,118,110592,-0.00029715444543398917,0.15,0.12971191224642098,212,0.006470335,0.1676025390625,0.9053474068641663,0.00024457280000000003,-0.00856112688779831,-5.338032528758049,21.56073238,753.68
55,936,120,112640,-0.008538021182175726,0.15,0.17168862326070666,216,0.0070457454,0.107666015625,0.913248598575592,0.0002444704,-0.00505828857421875,-5.3350856602191925,21.766770319999996,754.94
56,936,122,114688,-0.008783739613136277,0.15,0.17178162769414485,220,0.006214686,0.082275390625,0.8731426000595093,0.000244368,-0.01614658161997795,-5.330713108181953,21.77958151,754.23
57,936,124,116736,-0.0038105534767964855,0.15,0.18671788135543466,224,0.006263159,0.0869140625,0.9114426374435425,0.0002442656,0.019348077476024628,-5.334997966885567,22.08588424,748.66
58,935,126,118784,-0.0036919241974828765,0.15,0.1652418514713645,228,0.007706277,0.147705078125,0.9185936450958252,0.0002441632,-0.0029400289058685303,-5.302922919392586,22.323963279999997,751.66
59,935,129,120832,-0.007586065286886878,0.15,0.10955011215992272,232,0.006714186,0.1317138671875,0.9421109557151794,0.0002440608,-0.023432008922100067,-5.318860590457916,22.35304057999999,745.37
